
====== Step 1 ======
[GPU 1] Task=copy_batch           | Batch=1 UBatch=0 | Partition=1 Target=True | StartTime=1774165123.293509 | Time=1091.42 ms | Mem=201.96 MB | MaxMem=201.96 MB | GpuUtil=3% | Power=98.77/300.00W
[GPU 1] Task=copy_batch           | Batch=1 UBatch=0 | Partition=1 Target=False | StartTime=1774165124.395407 | Time=0.00 ms | Mem=209.10 MB | MaxMem=209.10 MB | GpuUtil=3% | Power=98.77/300.00W
[GPU 1] Task=compute_forward      | Batch=1 UBatch=0 | Partition=1 Target=True | StartTime=1774165123.293587 | Time=1255.55 ms | Mem=213.15 MB | MaxMem=221.90 MB | GpuUtil=1% | Power=98.70/300.00W
[GPU 1] Task=compute_forward      | Batch=1 UBatch=0 | Partition=1 Target=False | StartTime=1774165124.559645 | Time=176.46 ms | Mem=256.56 MB | MaxMem=256.56 MB | GpuUtil=8% | Power=98.03/300.00W
[GPU 1] Task=copy_batch_out       | Batch=1 UBatch=0 | Partition=1 Target=True | StartTime=1774165124.749307 | Time=1.36 ms | Mem=256.56 MB | MaxMem=256.56 MB | GpuUtil=8% | Power=98.03/300.00W
[GPU 1] Task=copy_batch_out       | Batch=1 UBatch=0 | Partition=1 Target=False | StartTime=1774165124.753396 | Time=0.99 ms | Mem=256.56 MB | MaxMem=256.56 MB | GpuUtil=8% | Power=98.03/300.00W
[GPU 1] Task=copy_grad            | Batch=1 UBatch=0 | Partition=1 Target=False | StartTime=1774165124.397763 | Time=2357.68 ms | Mem=255.79 MB | MaxMem=256.56 MB | GpuUtil=0% | Power=98.11/300.00W
[GPU 1] Task=compute_backward     | Batch=1 UBatch=0 | Partition=1 Target=False | StartTime=1774165124.749197 | Time=2059.29 ms | Mem=224.37 MB | MaxMem=260.20 MB | GpuUtil=0% | Power=98.11/300.00W
[GPU 1] Task=copy_grad_out        | Batch=1 UBatch=0 | Partition=1 Target=False | StartTime=1774165123.293312 | Time=3517.82 ms | Mem=224.37 MB | MaxMem=260.20 MB | GpuUtil=0% | Power=98.11/300.00W
[GPU 1] Task=compute_optimize     | Batch=1 UBatch=0 | Partition=1 Target=False | StartTime=1774165126.814581 | Time=26.21 ms | Mem=233.29 MB | MaxMem=260.20 MB | GpuUtil=0% | Power=98.10/300.00W

====== Step 2 ======
[GPU 1] Task=copy_model           | Batch=2 UBatch=0 | Partition=1 Target=True | StartTime=1774165126.843800 | Time=0.90 ms | Mem=233.29 MB | MaxMem=260.20 MB | GpuUtil=0% | Power=98.10/300.00W
[GPU 1] Task=copy_model           | Batch=2 UBatch=0 | Partition=1 Target=False | StartTime=1774165126.850210 | Time=1.77 ms | Mem=230.23 MB | MaxMem=260.20 MB | GpuUtil=0% | Power=98.10/300.00W
[GPU 1] Task=copy_batch           | Batch=2 UBatch=0 | Partition=1 Target=True | StartTime=1774165126.759315 | Time=262.35 ms | Mem=228.71 MB | MaxMem=260.20 MB | GpuUtil=0% | Power=98.20/300.00W
