
====== Step 1 ======
[GPU 3] Task=copy_batch           | Batch=1 UBatch=0 | Partition=3 Target=True | StartTime=1774873086.886639 | Time=1643.28 ms | Mem=721.54 MB | MaxMem=721.54 MB | GpuUtil=98% | Power=298.73/300.00W
[GPU 3] Task=copy_batch           | Batch=1 UBatch=0 | Partition=3 Target=False | StartTime=1774873088.560894 | Time=8.65 ms | Mem=746.22 MB | MaxMem=746.22 MB | GpuUtil=98% | Power=298.73/300.00W
[GPU 3] Task=compute_forward      | Batch=1 UBatch=0 | Partition=3 Target=True | StartTime=1774873086.886497 | Time=1923.31 ms | Mem=705.05 MB | MaxMem=1004.92 MB | GpuUtil=98% | Power=298.98/300.00W
[GPU 3] Task=compute_forward      | Batch=1 UBatch=0 | Partition=3 Target=False | StartTime=1774873088.828081 | Time=243.11 ms | Mem=2318.02 MB | MaxMem=2330.00 MB | GpuUtil=98% | Power=299.30/300.00W
[GPU 3] Task=compute_loss         | Batch=1 UBatch=0 | Partition=3 Target=False | StartTime=1774873089.096808 | Time=50.61 ms | Mem=2318.01 MB | MaxMem=2330.00 MB | GpuUtil=98% | Power=299.26/300.00W
[GPU 3] Task=copy_grad_out        | Batch=1 UBatch=0 | Partition=3 Target=False | StartTime=1774873086.888964 | Time=2369.22 ms | Mem=884.02 MB | MaxMem=2357.86 MB | GpuUtil=98% | Power=299.19/300.00W
[GPU 3] Task=compute_backward     | Batch=1 UBatch=0 | Partition=3 Target=False | StartTime=1774873089.159594 | Time=97.04 ms | Mem=884.02 MB | MaxMem=2357.86 MB | GpuUtil=98% | Power=299.19/300.00W
[GPU 3] Task=compute_optimize     | Batch=1 UBatch=0 | Partition=3 Target=False | StartTime=1774873089.277412 | Time=98.15 ms | Mem=1006.50 MB | MaxMem=2357.86 MB | GpuUtil=98% | Power=298.97/300.00W

====== Step 2 ======
[GPU 3] Task=copy_model           | Batch=2 UBatch=0 | Partition=3 Target=True | StartTime=1774873089.382620 | Time=0.00 ms | Mem=1006.50 MB | MaxMem=2357.86 MB | GpuUtil=98% | Power=298.97/300.00W
[GPU 3] Task=copy_model           | Batch=2 UBatch=0 | Partition=3 Target=False | StartTime=1774873089.392913 | Time=4.45 ms | Mem=1006.50 MB | MaxMem=2357.86 MB | GpuUtil=98% | Power=298.97/300.00W
[GPU 3] Task=copy_batch           | Batch=2 UBatch=0 | Partition=3 Target=True | StartTime=1774873088.576064 | Time=1954.25 ms | Mem=1031.30 MB | MaxMem=2357.86 MB | GpuUtil=98% | Power=295.96/300.00W
[GPU 3] Task=copy_batch           | Batch=2 UBatch=0 | Partition=3 Target=False | StartTime=1774873090.541497 | Time=94.68 ms | Mem=1031.13 MB | MaxMem=2357.86 MB | GpuUtil=98% | Power=292.25/300.00W
[GPU 3] Task=compute_forward      | Batch=2 UBatch=0 | Partition=3 Target=True | StartTime=1774873089.384577 | Time=1260.48 ms | Mem=1006.51 MB | MaxMem=2357.86 MB | GpuUtil=98% | Power=292.25/300.00W
[GPU 3] Task=compute_forward      | Batch=2 UBatch=0 | Partition=3 Target=False | StartTime=1774873090.665468 | Time=21.24 ms | Mem=2620.85 MB | MaxMem=2632.83 MB | GpuUtil=98% | Power=292.25/300.00W
[GPU 3] Task=compute_loss         | Batch=2 UBatch=0 | Partition=3 Target=False | StartTime=1774873090.696446 | Time=2.35 ms | Mem=2620.84 MB | MaxMem=2632.83 MB | GpuUtil=98% | Power=292.25/300.00W
