
====== Step 1 ======
[GPU 2] Task=copy_batch           | Batch=1 UBatch=0 | Partition=2 Target=True | StartTime=1774873086.221693 | Time=1592.64 ms | Mem=336.74 MB | MaxMem=336.74 MB | GpuUtil=2% | Power=84.69/300.00W
[GPU 2] Task=copy_batch           | Batch=1 UBatch=0 | Partition=2 Target=False | StartTime=1774873087.846034 | Time=0.00 ms | Mem=436.37 MB | MaxMem=436.37 MB | GpuUtil=2% | Power=84.69/300.00W
[GPU 2] Task=compute_forward      | Batch=1 UBatch=0 | Partition=2 Target=True | StartTime=1774873086.221588 | Time=1769.93 ms | Mem=344.87 MB | MaxMem=620.12 MB | GpuUtil=2% | Power=84.78/300.00W
[GPU 2] Task=compute_forward      | Batch=1 UBatch=0 | Partition=2 Target=False | StartTime=1774873088.007429 | Time=168.10 ms | Mem=1607.31 MB | MaxMem=1607.31 MB | GpuUtil=13% | Power=95.03/300.00W
[GPU 2] Task=copy_batch_out       | Batch=1 UBatch=0 | Partition=2 Target=True | StartTime=1774873088.196958 | Time=2.35 ms | Mem=1607.31 MB | MaxMem=1607.31 MB | GpuUtil=13% | Power=97.48/300.00W
[GPU 2] Task=copy_batch_out       | Batch=1 UBatch=0 | Partition=2 Target=False | StartTime=1774873088.205907 | Time=2.35 ms | Mem=1607.31 MB | MaxMem=1607.31 MB | GpuUtil=13% | Power=97.48/300.00W
[GPU 2] Task=copy_grad            | Batch=1 UBatch=0 | Partition=2 Target=False | StartTime=1774873087.853566 | Time=1519.78 ms | Mem=1582.69 MB | MaxMem=1607.31 MB | GpuUtil=0% | Power=84.75/300.00W
[GPU 2] Task=compute_backward     | Batch=1 UBatch=0 | Partition=2 Target=False | StartTime=1774873088.196396 | Time=1279.45 ms | Mem=439.44 MB | MaxMem=1644.94 MB | GpuUtil=0% | Power=84.78/300.00W
[GPU 2] Task=copy_grad_out        | Batch=1 UBatch=0 | Partition=2 Target=False | StartTime=1774873086.221424 | Time=3256.02 ms | Mem=439.44 MB | MaxMem=1644.94 MB | GpuUtil=0% | Power=84.78/300.00W
[GPU 2] Task=compute_optimize     | Batch=1 UBatch=0 | Partition=2 Target=False | StartTime=1774873089.482001 | Time=116.58 ms | Mem=509.76 MB | MaxMem=1644.94 MB | GpuUtil=0% | Power=89.68/300.00W

====== Step 2 ======
[GPU 2] Task=copy_model           | Batch=2 UBatch=0 | Partition=2 Target=True | StartTime=1774873089.624815 | Time=2.35 ms | Mem=460.76 MB | MaxMem=1644.94 MB | GpuUtil=31% | Power=89.74/300.00W
[GPU 2] Task=copy_model           | Batch=2 UBatch=0 | Partition=2 Target=False | StartTime=1774873089.632468 | Time=4.45 ms | Mem=460.76 MB | MaxMem=1644.94 MB | GpuUtil=31% | Power=89.74/300.00W
