
====== Step 1 ======
[GPU 0] Task=copy_grad            | Batch=2 UBatch=0 | Partition=0 Target=False | StartTime=1775109867.336057 | Wall=875.36 ms | CUDA=872.25 ms | ExecWall=0.00 ms | QWait=1611.49 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=519.49 MB | MaxMem=586.79 MB | GpuUtil=0% | Power=32.31/300.00W
[GPU 0] Task=compute_backward     | Batch=2 UBatch=0 | Partition=0 Target=False | StartTime=1775109867.468804 | Wall=748.40 ms | CUDA=748.34 ms | ExecWall=748.40 ms | QWait=0.00 ms | SyncWait=4.07 ms | InjectedSleep=0.00 ms | Mem=127.53 MB | MaxMem=586.79 MB | GpuUtil=0% | Power=32.31/300.00W
[GPU 0] Task=compute_optimize     | Batch=2 UBatch=0 | Partition=0 Target=False | StartTime=1775109868.221882 | Wall=10.52 ms | CUDA=10.40 ms | ExecWall=10.52 ms | QWait=0.00 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=145.87 MB | MaxMem=586.79 MB | GpuUtil=0% | Power=32.31/300.00W

====== Step 3 ======
[GPU 0] Task=copy_batch           | Batch=3 UBatch=0 | Partition=0 Target=True | StartTime=1775109868.215827 | Wall=1.81 ms | CUDA=1.63 ms | ExecWall=1.81 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=127.53 MB | MaxMem=586.79 MB | GpuUtil=0% | Power=32.31/300.00W
[GPU 0] Task=copy_batch           | Batch=3 UBatch=0 | Partition=0 Target=False | StartTime=1775109868.229342 | Wall=1.70 ms | CUDA=1.64 ms | ExecWall=1.70 ms | QWait=0.00 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=145.90 MB | MaxMem=586.79 MB | GpuUtil=0% | Power=32.31/300.00W
[GPU 0] Task=copy_model           | Batch=3 UBatch=0 | Partition=0 Target=True | StartTime=1775109868.234621 | Wall=1.06 ms | CUDA=0.91 ms | ExecWall=1.06 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=145.87 MB | MaxMem=586.79 MB | GpuUtil=0% | Power=32.31/300.00W
[GPU 0] Task=compute_forward      | Batch=3 UBatch=0 | Partition=0 Target=True | StartTime=1775109868.237930 | Wall=20.72 ms | CUDA=20.68 ms | ExecWall=20.72 ms | QWait=0.00 ms | SyncWait=16.22 ms | InjectedSleep=0.00 ms | Mem=152.12 MB | MaxMem=586.79 MB | GpuUtil=0% | Power=32.31/300.00W
[GPU 0] Task=copy_model           | Batch=3 UBatch=0 | Partition=0 Target=False | StartTime=1775109868.243360 | Wall=16.04 ms | CUDA=2.00 ms | ExecWall=16.04 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=152.12 MB | MaxMem=586.79 MB | GpuUtil=0% | Power=32.31/300.00W
[GPU 0] Task=compute_forward      | Batch=3 UBatch=0 | Partition=0 Target=False | StartTime=1775109868.261756 | Wall=2.46 ms | CUDA=2.29 ms | ExecWall=2.46 ms | QWait=0.01 ms | SyncWait=1.24 ms | InjectedSleep=0.00 ms | Mem=446.12 MB | MaxMem=586.79 MB | GpuUtil=0% | Power=32.31/300.00W
[GPU 0] Task=copy_batch_out       | Batch=3 UBatch=0 | Partition=0 Target=True | StartTime=1775109868.265452 | Wall=1.24 ms | CUDA=1.04 ms | ExecWall=1.24 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=446.12 MB | MaxMem=586.79 MB | GpuUtil=0% | Power=32.31/300.00W
