
====== Step 1 ======
[GPU 1] Task=copy_batch           | Batch=1 UBatch=0 | Partition=1 Target=True | StartTime=1775109863.137800 | Wall=451.95 ms | CUDA=451.85 ms | ExecWall=0.00 ms | QWait=898.76 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=443.54 MB | MaxMem=443.54 MB | GpuUtil=0% | Power=32.64/300.00W
[GPU 1] Task=copy_batch           | Batch=1 UBatch=0 | Partition=1 Target=False | StartTime=1775109863.611413 | Wall=0.12 ms | CUDA=0.00 ms | ExecWall=0.11 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=542.99 MB | MaxMem=542.99 MB | GpuUtil=0% | Power=32.64/300.00W
[GPU 1] Task=compute_forward      | Batch=1 UBatch=0 | Partition=1 Target=True | StartTime=1775109863.137623 | Wall=709.47 ms | CUDA=709.17 ms | ExecWall=709.47 ms | QWait=0.00 ms | SyncWait=68.01 ms | InjectedSleep=0.00 ms | Mem=451.49 MB | MaxMem=726.74 MB | GpuUtil=0% | Power=32.64/300.00W
[GPU 1] Task=compute_forward      | Batch=1 UBatch=0 | Partition=1 Target=False | StartTime=1775109863.871560 | Wall=178.83 ms | CUDA=178.78 ms | ExecWall=178.83 ms | QWait=0.01 ms | SyncWait=1.06 ms | InjectedSleep=0.00 ms | Mem=2800.55 MB | MaxMem=2800.55 MB | GpuUtil=0% | Power=32.64/300.00W
[GPU 1] Task=copy_batch_out       | Batch=1 UBatch=0 | Partition=1 Target=True | StartTime=1775109864.062110 | Wall=2.05 ms | CUDA=1.98 ms | ExecWall=2.05 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=2800.55 MB | MaxMem=2800.55 MB | GpuUtil=0% | Power=32.64/300.00W
[GPU 1] Task=copy_batch_out       | Batch=1 UBatch=0 | Partition=1 Target=False | StartTime=1775109864.067227 | Wall=0.90 ms | CUDA=0.86 ms | ExecWall=0.90 ms | QWait=0.01 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=2800.55 MB | MaxMem=2800.55 MB | GpuUtil=0% | Power=32.64/300.00W
[GPU 1] Task=copy_grad            | Batch=1 UBatch=0 | Partition=1 Target=False | StartTime=1775109863.614266 | Wall=3507.16 ms | CUDA=3507.11 ms | ExecWall=0.27 ms | QWait=3506.89 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=2775.93 MB | MaxMem=2800.55 MB | GpuUtil=0% | Power=32.52/300.00W
[GPU 1] Task=compute_backward     | Batch=1 UBatch=0 | Partition=1 Target=False | StartTime=1775109864.063454 | Wall=3157.07 ms | CUDA=3157.02 ms | ExecWall=3157.07 ms | QWait=0.00 ms | SyncWait=0.77 ms | InjectedSleep=0.00 ms | Mem=461.12 MB | MaxMem=2875.93 MB | GpuUtil=0% | Power=32.52/300.00W
[GPU 1] Task=copy_grad_out        | Batch=1 UBatch=0 | Partition=1 Target=False | StartTime=1775109863.137902 | Wall=4085.30 ms | CUDA=4085.23 ms | ExecWall=1.25 ms | QWait=4084.06 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=461.12 MB | MaxMem=2875.93 MB | GpuUtil=0% | Power=32.52/300.00W
[GPU 1] Task=compute_optimize     | Batch=1 UBatch=0 | Partition=1 Target=False | StartTime=1775109867.226019 | Wall=61.84 ms | CUDA=61.79 ms | ExecWall=61.84 ms | QWait=0.00 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=470.87 MB | MaxMem=2875.93 MB | GpuUtil=0% | Power=32.52/300.00W

