
====== Step 1 ======
[GPU 1] Task=copy_batch           | Batch=1 UBatch=0 | Partition=1 Target=True | StartTime=1774250930.815290 | Time=831.45 ms | Mem=299.69 MB | MaxMem=299.69 MB | GpuUtil=0% | Power=148.09/300.00W
[GPU 1] Task=copy_batch           | Batch=1 UBatch=0 | Partition=1 Target=False | StartTime=1774250931.674565 | Time=63.19 ms | Mem=1086.19 MB | MaxMem=1087.19 MB | GpuUtil=0% | Power=149.77/300.00W
[GPU 1] Task=compute_forward      | Batch=1 UBatch=0 | Partition=1 Target=True | StartTime=1774250930.815037 | Time=1311.53 ms | Mem=699.82 MB | MaxMem=1800.82 MB | GpuUtil=0% | Power=147.65/300.00W
[GPU 1] Task=compute_forward      | Batch=1 UBatch=0 | Partition=1 Target=False | StartTime=1774250932.139004 | Time=228.66 ms | Mem=6089.87 MB | MaxMem=6089.87 MB | GpuUtil=0% | Power=108.39/300.00W
[GPU 1] Task=copy_batch_out       | Batch=1 UBatch=0 | Partition=1 Target=True | StartTime=1774250932.378195 | Time=1.54 ms | Mem=6089.87 MB | MaxMem=6089.87 MB | GpuUtil=0% | Power=108.39/300.00W
[GPU 1] Task=copy_batch_out       | Batch=1 UBatch=0 | Partition=1 Target=False | StartTime=1774250932.382467 | Time=0.83 ms | Mem=6089.87 MB | MaxMem=6089.87 MB | GpuUtil=0% | Power=108.39/300.00W
[GPU 1] Task=copy_grad            | Batch=1 UBatch=0 | Partition=1 Target=False | StartTime=1774250931.744828 | Time=4656.69 ms | Mem=5991.37 MB | MaxMem=6089.87 MB | GpuUtil=0% | Power=94.05/300.00W
[GPU 1] Task=compute_backward     | Batch=1 UBatch=0 | Partition=1 Target=False | StartTime=1774250932.378165 | Time=4192.23 ms | Mem=1002.24 MB | MaxMem=6383.37 MB | GpuUtil=0% | Power=94.07/300.00W
[GPU 1] Task=copy_grad_out        | Batch=1 UBatch=0 | Partition=1 Target=False | StartTime=1774250930.815363 | Time=5755.95 ms | Mem=1002.24 MB | MaxMem=6383.37 MB | GpuUtil=0% | Power=94.07/300.00W
[GPU 1] Task=compute_optimize     | Batch=1 UBatch=0 | Partition=1 Target=False | StartTime=1774250936.581901 | Time=135.98 ms | Mem=619.17 MB | MaxMem=6383.37 MB | GpuUtil=9% | Power=94.08/300.00W

====== Step 2 ======
[GPU 1] Task=copy_model           | Batch=2 UBatch=0 | Partition=1 Target=True | StartTime=1774250936.721735 | Time=1.06 ms | Mem=619.17 MB | MaxMem=6383.37 MB | GpuUtil=9% | Power=94.08/300.00W
[GPU 1] Task=copy_model           | Batch=2 UBatch=0 | Partition=1 Target=False | StartTime=1774250936.725673 | Time=1.52 ms | Mem=619.17 MB | MaxMem=6383.37 MB | GpuUtil=9% | Power=94.08/300.00W
[GPU 1] Task=copy_batch           | Batch=2 UBatch=0 | Partition=1 Target=True | StartTime=1774250936.413732 | Time=791.57 ms | Mem=325.67 MB | MaxMem=6383.37 MB | GpuUtil=54% | Power=146.22/300.00W
[GPU 1] Task=copy_batch           | Batch=2 UBatch=0 | Partition=1 Target=False | StartTime=1774250937.208324 | Time=85.52 ms | Mem=816.17 MB | MaxMem=6383.37 MB | GpuUtil=86% | Power=152.95/300.00W
[GPU 1] Task=compute_forward      | Batch=2 UBatch=0 | Partition=1 Target=True | StartTime=1774250936.725432 | Time=719.01 ms | Mem=717.67 MB | MaxMem=6383.37 MB | GpuUtil=86% | Power=155.86/300.00W
[GPU 1] Task=compute_forward      | Batch=2 UBatch=0 | Partition=1 Target=False | StartTime=1774250937.458258 | Time=64.83 ms | Mem=6107.72 MB | MaxMem=6383.37 MB | GpuUtil=41% | Power=155.86/300.00W
[GPU 1] Task=copy_batch_out       | Batch=2 UBatch=0 | Partition=1 Target=True | StartTime=1774250937.525435 | Time=1.26 ms | Mem=6107.72 MB | MaxMem=6383.37 MB | GpuUtil=41% | Power=155.86/300.00W
[GPU 1] Task=copy_batch_out       | Batch=2 UBatch=0 | Partition=1 Target=False | StartTime=1774250937.529308 | Time=105.96 ms | Mem=6009.22 MB | MaxMem=6383.37 MB | GpuUtil=41% | Power=157.10/300.00W
[GPU 1] Task=copy_grad            | Batch=2 UBatch=0 | Partition=1 Target=False | StartTime=1774250937.297052 | Time=1845.24 ms | Mem=6009.22 MB | MaxMem=6383.37 MB | GpuUtil=0% | Power=108.06/300.00W
[GPU 1] Task=copy_grad_out        | Batch=2 UBatch=0 | Partition=1 Target=False | StartTime=1774250936.584313 | Time=2673.06 ms | Mem=1804.09 MB | MaxMem=6401.22 MB | GpuUtil=0% | Power=108.11/300.00W
[GPU 1] Task=compute_backward     | Batch=2 UBatch=0 | Partition=1 Target=False | StartTime=1774250937.525562 | Time=1734.91 ms | Mem=1020.09 MB | MaxMem=6401.22 MB | GpuUtil=0% | Power=108.11/300.00W
[GPU 1] Task=compute_optimize     | Batch=2 UBatch=0 | Partition=1 Target=False | StartTime=1774250939.263472 | Time=101.53 ms | Mem=619.17 MB | MaxMem=6401.22 MB | GpuUtil=0% | Power=107.12/300.00W

====== Step 3 ======
[GPU 1] Task=copy_model           | Batch=3 UBatch=0 | Partition=1 Target=True | StartTime=1774250939.373386 | Time=0.00 ms | Mem=619.17 MB | MaxMem=6401.22 MB | GpuUtil=0% | Power=107.12/300.00W
[GPU 1] Task=copy_model           | Batch=3 UBatch=0 | Partition=1 Target=False | StartTime=1774250939.379992 | Time=0.00 ms | Mem=619.17 MB | MaxMem=6401.22 MB | GpuUtil=0% | Power=107.12/300.00W
[GPU 1] Task=copy_batch           | Batch=3 UBatch=0 | Partition=1 Target=True | StartTime=1774250939.176904 | Time=575.61 ms | Mem=325.67 MB | MaxMem=6401.22 MB | GpuUtil=84% | Power=159.40/300.00W
[GPU 1] Task=copy_batch           | Batch=3 UBatch=0 | Partition=1 Target=False | StartTime=1774250939.758552 | Time=240.20 ms | Mem=816.17 MB | MaxMem=6401.22 MB | GpuUtil=84% | Power=160.80/300.00W
[GPU 1] Task=compute_forward      | Batch=3 UBatch=0 | Partition=1 Target=True | StartTime=1774250939.384385 | Time=613.91 ms | Mem=717.67 MB | MaxMem=6401.22 MB | GpuUtil=84% | Power=160.80/300.00W
[GPU 1] Task=compute_forward      | Batch=3 UBatch=0 | Partition=1 Target=False | StartTime=1774250940.013704 | Time=48.64 ms | Mem=6107.72 MB | MaxMem=6401.22 MB | GpuUtil=13% | Power=160.89/300.00W
[GPU 1] Task=copy_batch_out       | Batch=3 UBatch=0 | Partition=1 Target=True | StartTime=1774250940.067550 | Time=0.91 ms | Mem=6107.72 MB | MaxMem=6401.22 MB | GpuUtil=13% | Power=160.89/300.00W
[GPU 1] Task=copy_batch_out       | Batch=3 UBatch=0 | Partition=1 Target=False | StartTime=1774250940.076700 | Time=100.48 ms | Mem=6009.22 MB | MaxMem=6401.22 MB | GpuUtil=13% | Power=160.96/300.00W
[GPU 1] Task=copy_grad            | Batch=3 UBatch=0 | Partition=1 Target=False | StartTime=1774250940.012125 | Time=1855.36 ms | Mem=6009.22 MB | MaxMem=6401.22 MB | GpuUtil=0% | Power=106.37/300.00W
[GPU 1] Task=copy_grad_out        | Batch=3 UBatch=0 | Partition=1 Target=False | StartTime=1774250939.261057 | Time=2718.92 ms | Mem=1020.09 MB | MaxMem=6401.22 MB | GpuUtil=0% | Power=105.13/300.00W
[GPU 1] Task=compute_backward     | Batch=3 UBatch=0 | Partition=1 Target=False | StartTime=1774250940.067522 | Time=1910.43 ms | Mem=1020.09 MB | MaxMem=6401.22 MB | GpuUtil=0% | Power=105.13/300.00W
[GPU 1] Task=compute_optimize     | Batch=3 UBatch=0 | Partition=1 Target=False | StartTime=1774250942.015782 | Time=7.06 ms | Mem=1011.17 MB | MaxMem=6401.22 MB | GpuUtil=0% | Power=105.13/300.00W

====== Step 4 ======
[GPU 1] Task=copy_model           | Batch=4 UBatch=0 | Partition=1 Target=True | StartTime=1774250942.030828 | Time=2.28 ms | Mem=1011.17 MB | MaxMem=6401.22 MB | GpuUtil=0% | Power=105.13/300.00W
[GPU 1] Task=copy_model           | Batch=4 UBatch=0 | Partition=1 Target=False | StartTime=1774250942.035664 | Time=4.14 ms | Mem=1011.17 MB | MaxMem=6401.22 MB | GpuUtil=0% | Power=105.13/300.00W
[GPU 1] Task=copy_batch           | Batch=4 UBatch=0 | Partition=1 Target=True | StartTime=1774250941.879673 | Time=571.17 ms | Mem=325.67 MB | MaxMem=6401.22 MB | GpuUtil=86% | Power=152.46/300.00W
[GPU 1] Task=copy_batch           | Batch=4 UBatch=0 | Partition=1 Target=False | StartTime=1774250942.459282 | Time=235.29 ms | Mem=816.17 MB | MaxMem=6401.22 MB | GpuUtil=65% | Power=154.50/300.00W
[GPU 1] Task=compute_forward      | Batch=4 UBatch=0 | Partition=1 Target=True | StartTime=1774250942.035636 | Time=659.67 ms | Mem=717.67 MB | MaxMem=6401.22 MB | GpuUtil=65% | Power=154.50/300.00W
[GPU 1] Task=compute_forward      | Batch=4 UBatch=0 | Partition=1 Target=False | StartTime=1774250942.712870 | Time=64.75 ms | Mem=6107.72 MB | MaxMem=6401.22 MB | GpuUtil=65% | Power=154.57/300.00W
[GPU 1] Task=copy_batch_out       | Batch=4 UBatch=0 | Partition=1 Target=True | StartTime=1774250942.788379 | Time=0.88 ms | Mem=6107.72 MB | MaxMem=6401.22 MB | GpuUtil=65% | Power=154.57/300.00W
[GPU 1] Task=copy_batch_out       | Batch=4 UBatch=0 | Partition=1 Target=False | StartTime=1774250942.794689 | Time=124.58 ms | Mem=6009.22 MB | MaxMem=6401.22 MB | GpuUtil=0% | Power=155.74/300.00W
