
====== Step 1 ======
[GPU 3] Task=copy_batch           | Batch=1 UBatch=0 | Partition=3 Target=True | StartTime=1774250930.783451 | Time=3780.27 ms | Mem=967.61 MB | MaxMem=967.61 MB | GpuUtil=53% | Power=215.82/300.00W
[GPU 3] Task=copy_batch           | Batch=1 UBatch=0 | Partition=3 Target=False | StartTime=1774250934.586617 | Time=0.06 ms | Mem=1264.42 MB | MaxMem=1264.42 MB | GpuUtil=53% | Power=208.86/300.00W
[GPU 3] Task=compute_forward      | Batch=1 UBatch=0 | Partition=3 Target=True | StartTime=1774250930.783182 | Time=4369.67 ms | Mem=778.59 MB | MaxMem=1978.05 MB | GpuUtil=53% | Power=224.70/300.00W
[GPU 3] Task=compute_forward      | Batch=1 UBatch=0 | Partition=3 Target=False | StartTime=1774250935.170455 | Time=255.22 ms | Mem=7226.51 MB | MaxMem=7275.42 MB | GpuUtil=39% | Power=227.00/300.00W
[GPU 3] Task=compute_loss         | Batch=1 UBatch=0 | Partition=3 Target=False | StartTime=1774250935.436249 | Time=54.77 ms | Mem=7226.46 MB | MaxMem=7275.42 MB | GpuUtil=39% | Power=227.36/300.00W
[GPU 3] Task=compute_backward     | Batch=1 UBatch=0 | Partition=3 Target=False | StartTime=1774250935.494780 | Time=169.33 ms | Mem=1029.65 MB | MaxMem=7334.37 MB | GpuUtil=49% | Power=229.97/300.00W
[GPU 3] Task=copy_grad_out        | Batch=1 UBatch=0 | Partition=3 Target=False | StartTime=1774250930.783408 | Time=4882.97 ms | Mem=1029.65 MB | MaxMem=7334.37 MB | GpuUtil=49% | Power=229.97/300.00W
[GPU 3] Task=compute_optimize     | Batch=1 UBatch=0 | Partition=3 Target=False | StartTime=1774250935.676659 | Time=70.66 ms | Mem=1076.00 MB | MaxMem=7334.37 MB | GpuUtil=49% | Power=236.40/300.00W

====== Step 2 ======
[GPU 3] Task=copy_model           | Batch=2 UBatch=0 | Partition=3 Target=True | StartTime=1774250935.757442 | Time=1.54 ms | Mem=1076.00 MB | MaxMem=7334.37 MB | GpuUtil=49% | Power=236.40/300.00W
[GPU 3] Task=copy_model           | Batch=2 UBatch=0 | Partition=3 Target=False | StartTime=1774250935.763535 | Time=6.85 ms | Mem=1076.00 MB | MaxMem=7334.37 MB | GpuUtil=49% | Power=236.40/300.00W
[GPU 3] Task=copy_batch           | Batch=2 UBatch=0 | Partition=3 Target=True | StartTime=1774250934.589363 | Time=3421.95 ms | Mem=1076.50 MB | MaxMem=7334.37 MB | GpuUtil=3% | Power=221.52/300.00W
[GPU 3] Task=copy_batch           | Batch=2 UBatch=0 | Partition=3 Target=False | StartTime=1774250938.020071 | Time=184.22 ms | Mem=1174.55 MB | MaxMem=7334.37 MB | GpuUtil=3% | Power=212.53/300.00W
[GPU 3] Task=compute_forward      | Batch=2 UBatch=0 | Partition=3 Target=True | StartTime=1774250935.763509 | Time=2699.88 ms | Mem=1076.05 MB | MaxMem=7334.37 MB | GpuUtil=46% | Power=208.56/300.00W
