
====== Step 1 ======
[GPU 0] Task=copy_grad            | Batch=2 UBatch=0 | Partition=0 Target=False | StartTime=1774886767.243364 | Wall=795.58 ms | CUDA=795.45 ms | ExecWall=0.00 ms | QWait=1425.68 ms | SyncWait=0.04 ms | InjectedSleep=0.00 ms | Mem=569.78 MB | MaxMem=1462.80 MB | GpuUtil=54% | Power=217.40/300.00W
[GPU 0] Task=compute_backward     | Batch=2 UBatch=0 | Partition=0 Target=False | StartTime=1774886767.405003 | Wall=653.05 ms | CUDA=652.50 ms | ExecWall=653.05 ms | QWait=0.00 ms | SyncWait=16.74 ms | InjectedSleep=0.00 ms | Mem=159.44 MB | MaxMem=1462.80 MB | GpuUtil=54% | Power=217.40/300.00W
[GPU 0] Task=compute_optimize     | Batch=2 UBatch=0 | Partition=0 Target=False | StartTime=1774886768.064128 | Wall=14.35 ms | CUDA=13.07 ms | ExecWall=14.35 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=195.60 MB | MaxMem=1462.80 MB | GpuUtil=54% | Power=217.40/300.00W

====== Step 3 ======
[GPU 0] Task=copy_batch           | Batch=3 UBatch=0 | Partition=0 Target=True | StartTime=1774886768.058773 | Wall=3.06 ms | CUDA=1.87 ms | ExecWall=3.06 ms | QWait=0.00 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=177.82 MB | MaxMem=1462.80 MB | GpuUtil=54% | Power=217.40/300.00W
[GPU 0] Task=copy_batch           | Batch=3 UBatch=0 | Partition=0 Target=False | StartTime=1774886768.072821 | Wall=3.78 ms | CUDA=0.00 ms | ExecWall=3.78 ms | QWait=0.00 ms | SyncWait=1.36 ms | InjectedSleep=0.00 ms | Mem=195.60 MB | MaxMem=1462.80 MB | GpuUtil=54% | Power=217.40/300.00W
[GPU 0] Task=copy_model           | Batch=3 UBatch=0 | Partition=0 Target=True | StartTime=1774886768.080321 | Wall=1.05 ms | CUDA=0.99 ms | ExecWall=1.05 ms | QWait=0.00 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=195.60 MB | MaxMem=1462.80 MB | GpuUtil=54% | Power=217.40/300.00W
[GPU 0] Task=copy_model           | Batch=3 UBatch=0 | Partition=0 Target=False | StartTime=1774886768.095693 | Wall=17.49 ms | CUDA=1.55 ms | ExecWall=17.49 ms | QWait=0.00 ms | SyncWait=0.76 ms | InjectedSleep=0.00 ms | Mem=220.23 MB | MaxMem=1462.80 MB | GpuUtil=54% | Power=217.40/300.00W
[GPU 0] Task=compute_forward      | Batch=3 UBatch=0 | Partition=0 Target=True | StartTime=1774886768.082259 | Wall=31.46 ms | CUDA=31.42 ms | ExecWall=31.46 ms | QWait=0.00 ms | SyncWait=28.60 ms | InjectedSleep=0.00 ms | Mem=201.85 MB | MaxMem=1462.80 MB | GpuUtil=54% | Power=217.40/300.00W
[GPU 0] Task=compute_forward      | Batch=3 UBatch=0 | Partition=0 Target=False | StartTime=1774886768.117427 | Wall=7.64 ms | CUDA=7.60 ms | ExecWall=7.63 ms | QWait=0.01 ms | SyncWait=5.40 ms | InjectedSleep=0.00 ms | Mem=1255.86 MB | MaxMem=1462.80 MB | GpuUtil=54% | Power=217.40/300.00W
