
====== Step 1 ======
[GPU 1] Task=copy_batch           | Batch=1 UBatch=0 | Partition=1 Target=True | StartTime=1775004447.608680 | Wall=1038.64 ms | CUDA=1034.74 ms | ExecWall=0.00 ms | QWait=2069.14 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=620.70 MB | MaxMem=620.70 MB | GpuUtil=100% | Power=279.25/300.00W
[GPU 1] Task=copy_batch           | Batch=1 UBatch=0 | Partition=1 Target=False | StartTime=1775004448.680454 | Wall=0.12 ms | CUDA=0.00 ms | ExecWall=0.12 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=1016.20 MB | MaxMem=1016.20 MB | GpuUtil=100% | Power=279.25/300.00W
[GPU 1] Task=compute_forward      | Batch=1 UBatch=0 | Partition=1 Target=True | StartTime=1775004447.608844 | Wall=1447.56 ms | CUDA=1447.43 ms | ExecWall=1447.56 ms | QWait=0.00 ms | SyncWait=214.97 ms | InjectedSleep=0.00 ms | Mem=628.82 MB | MaxMem=1729.82 MB | GpuUtil=100% | Power=282.46/300.00W
[GPU 1] Task=compute_forward      | Batch=1 UBatch=0 | Partition=1 Target=False | StartTime=1775004449.072562 | Wall=218.47 ms | CUDA=218.41 ms | ExecWall=218.46 ms | QWait=0.01 ms | SyncWait=10.26 ms | InjectedSleep=0.00 ms | Mem=6557.95 MB | MaxMem=6557.95 MB | GpuUtil=100% | Power=286.27/300.00W
[GPU 1] Task=copy_batch_out       | Batch=1 UBatch=0 | Partition=1 Target=True | StartTime=1775004449.312791 | Wall=1.31 ms | CUDA=1.26 ms | ExecWall=1.30 ms | QWait=0.01 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=6557.95 MB | MaxMem=6557.95 MB | GpuUtil=100% | Power=286.27/300.00W
[GPU 1] Task=copy_batch_out       | Batch=1 UBatch=0 | Partition=1 Target=False | StartTime=1775004449.321543 | Wall=1.01 ms | CUDA=0.97 ms | ExecWall=1.00 ms | QWait=0.01 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=6557.95 MB | MaxMem=6557.95 MB | GpuUtil=100% | Power=280.68/300.00W
[GPU 1] Task=copy_grad            | Batch=1 UBatch=0 | Partition=1 Target=False | StartTime=1775004448.687264 | Wall=3564.83 ms | CUDA=3564.62 ms | ExecWall=0.00 ms | QWait=6503.17 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=6459.45 MB | MaxMem=6557.95 MB | GpuUtil=100% | Power=285.16/300.00W
[GPU 1] Task=compute_backward     | Batch=1 UBatch=0 | Partition=1 Target=False | StartTime=1775004449.313100 | Wall=3085.87 ms | CUDA=3085.80 ms | ExecWall=3085.87 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=765.07 MB | MaxMem=6705.45 MB | GpuUtil=100% | Power=283.31/300.00W
[GPU 1] Task=copy_grad_out        | Batch=1 UBatch=0 | Partition=1 Target=False | StartTime=1775004447.608933 | Wall=4789.67 ms | CUDA=4789.58 ms | ExecWall=1.14 ms | QWait=4788.53 ms | SyncWait=27.05 ms | InjectedSleep=0.00 ms | Mem=1157.07 MB | MaxMem=6705.45 MB | GpuUtil=100% | Power=283.31/300.00W
[GPU 1] Task=compute_optimize     | Batch=1 UBatch=0 | Partition=1 Target=False | StartTime=1775004452.427696 | Wall=68.22 ms | CUDA=68.18 ms | ExecWall=68.22 ms | QWait=0.00 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=606.70 MB | MaxMem=6705.45 MB | GpuUtil=100% | Power=278.89/300.00W

====== Step 2 ======
[GPU 1] Task=copy_model           | Batch=2 UBatch=0 | Partition=1 Target=True | StartTime=1775004452.503761 | Wall=3.50 ms | CUDA=3.36 ms | ExecWall=3.50 ms | QWait=0.00 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=606.70 MB | MaxMem=6705.45 MB | GpuUtil=100% | Power=278.89/300.00W
[GPU 1] Task=copy_model           | Batch=2 UBatch=0 | Partition=1 Target=False | StartTime=1775004452.513162 | Wall=1.97 ms | CUDA=1.89 ms | ExecWall=1.97 ms | QWait=0.00 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=606.70 MB | MaxMem=6705.45 MB | GpuUtil=100% | Power=278.89/300.00W
[GPU 1] Task=copy_batch           | Batch=2 UBatch=0 | Partition=1 Target=True | StartTime=1775004452.258595 | Wall=817.12 ms | CUDA=816.85 ms | ExecWall=0.00 ms | QWait=1378.85 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=509.20 MB | MaxMem=6705.45 MB | GpuUtil=100% | Power=286.18/300.00W
[GPU 1] Task=copy_batch           | Batch=2 UBatch=0 | Partition=1 Target=False | StartTime=1775004453.079016 | Wall=137.96 ms | CUDA=137.78 ms | ExecWall=0.24 ms | QWait=137.71 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=803.70 MB | MaxMem=6705.45 MB | GpuUtil=100% | Power=281.38/300.00W
[GPU 1] Task=compute_forward      | Batch=2 UBatch=0 | Partition=1 Target=True | StartTime=1775004452.513115 | Wall=815.06 ms | CUDA=814.93 ms | ExecWall=815.06 ms | QWait=0.00 ms | SyncWait=244.38 ms | InjectedSleep=0.00 ms | Mem=705.20 MB | MaxMem=6705.45 MB | GpuUtil=100% | Power=282.38/300.00W
[GPU 1] Task=compute_forward      | Batch=2 UBatch=0 | Partition=1 Target=False | StartTime=1775004453.348904 | Wall=50.65 ms | CUDA=50.61 ms | ExecWall=50.64 ms | QWait=0.00 ms | SyncWait=43.57 ms | InjectedSleep=0.00 ms | Mem=6634.32 MB | MaxMem=6705.45 MB | GpuUtil=100% | Power=282.86/300.00W
[GPU 1] Task=copy_batch_out       | Batch=2 UBatch=0 | Partition=1 Target=True | StartTime=1775004453.405163 | Wall=2.00 ms | CUDA=1.92 ms | ExecWall=2.00 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=6634.32 MB | MaxMem=6705.45 MB | GpuUtil=100% | Power=282.86/300.00W
[GPU 1] Task=copy_batch_out       | Batch=2 UBatch=0 | Partition=1 Target=False | StartTime=1775004453.409664 | Wall=134.20 ms | CUDA=134.17 ms | ExecWall=134.20 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=6535.82 MB | MaxMem=6705.45 MB | GpuUtil=100% | Power=283.99/300.00W
[GPU 1] Task=copy_grad            | Batch=2 UBatch=0 | Partition=1 Target=False | StartTime=1775004453.231202 | Wall=1285.44 ms | CUDA=1285.40 ms | ExecWall=0.24 ms | QWait=1285.20 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=6535.82 MB | MaxMem=6705.45 MB | GpuUtil=100% | Power=282.93/300.00W
[GPU 1] Task=compute_backward     | Batch=2 UBatch=0 | Partition=1 Target=False | StartTime=1775004453.405135 | Wall=1212.62 ms | CUDA=1212.54 ms | ExecWall=0.00 ms | QWait=2181.34 ms | SyncWait=85.24 ms | InjectedSleep=0.00 ms | Mem=840.45 MB | MaxMem=6781.82 MB | GpuUtil=100% | Power=283.51/300.00W
[GPU 1] Task=copy_grad_out        | Batch=2 UBatch=0 | Partition=1 Target=False | StartTime=1775004452.432518 | Wall=2189.94 ms | CUDA=2189.84 ms | ExecWall=2189.94 ms | QWait=0.00 ms | SyncWait=0.33 ms | InjectedSleep=0.00 ms | Mem=840.45 MB | MaxMem=6781.82 MB | GpuUtil=100% | Power=283.51/300.00W
[GPU 1] Task=compute_optimize     | Batch=2 UBatch=0 | Partition=1 Target=False | StartTime=1775004454.623204 | Wall=44.75 ms | CUDA=43.22 ms | ExecWall=44.75 ms | QWait=0.00 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=606.70 MB | MaxMem=6781.82 MB | GpuUtil=100% | Power=283.60/300.00W

====== Step 3 ======
[GPU 1] Task=copy_model           | Batch=3 UBatch=0 | Partition=1 Target=True | StartTime=1775004454.675530 | Wall=3.36 ms | CUDA=2.28 ms | ExecWall=3.36 ms | QWait=0.00 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=606.70 MB | MaxMem=6781.82 MB | GpuUtil=100% | Power=283.60/300.00W
