
====== Step 1 ======
[GPU 2] Task=copy_batch_out       | Batch=2 UBatch=0 | Partition=2 Target=False | StartTime=1775004453.859890 | Wall=21.51 ms | CUDA=21.48 ms | ExecWall=21.50 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=5095.46 MB | MaxMem=5212.98 MB | GpuUtil=67% | Power=154.69/300.00W
[GPU 2] Task=copy_grad            | Batch=2 UBatch=0 | Partition=2 Target=False | StartTime=1775004453.695499 | Wall=654.36 ms | CUDA=654.19 ms | ExecWall=0.00 ms | QWait=1147.94 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=5095.46 MB | MaxMem=5212.98 MB | GpuUtil=0% | Power=139.27/300.00W
[GPU 2] Task=compute_backward     | Batch=2 UBatch=0 | Partition=2 Target=False | StartTime=1775004453.855616 | Wall=578.18 ms | CUDA=578.13 ms | ExecWall=578.18 ms | QWait=0.00 ms | SyncWait=75.70 ms | InjectedSleep=0.00 ms | Mem=750.21 MB | MaxMem=5341.46 MB | GpuUtil=0% | Power=139.27/300.00W
[GPU 2] Task=copy_grad_out        | Batch=2 UBatch=0 | Partition=2 Target=False | StartTime=1775004452.050040 | Wall=2387.16 ms | CUDA=2387.10 ms | ExecWall=1.06 ms | QWait=2386.10 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=750.21 MB | MaxMem=5341.46 MB | GpuUtil=0% | Power=121.17/300.00W
[GPU 2] Task=compute_optimize     | Batch=2 UBatch=0 | Partition=2 Target=False | StartTime=1775004454.439897 | Wall=82.34 ms | CUDA=82.31 ms | ExecWall=82.34 ms | QWait=0.00 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=587.28 MB | MaxMem=5341.46 MB | GpuUtil=0% | Power=121.17/300.00W

====== Step 3 ======
[GPU 2] Task=copy_model           | Batch=3 UBatch=0 | Partition=2 Target=True | StartTime=1775004454.541374 | Wall=0.95 ms | CUDA=0.84 ms | ExecWall=0.95 ms | QWait=0.00 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=587.28 MB | MaxMem=5341.46 MB | GpuUtil=0% | Power=106.02/300.00W
[GPU 2] Task=copy_model           | Batch=3 UBatch=0 | Partition=2 Target=False | StartTime=1775004454.545777 | Wall=2.08 ms | CUDA=2.04 ms | ExecWall=2.08 ms | QWait=0.00 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=587.28 MB | MaxMem=5341.46 MB | GpuUtil=0% | Power=106.02/300.00W
[GPU 2] Task=copy_batch           | Batch=3 UBatch=0 | Partition=2 Target=True | StartTime=1775004454.352493 | Wall=1264.60 ms | CUDA=1264.20 ms | ExecWall=0.00 ms | QWait=2334.64 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=587.78 MB | MaxMem=5341.46 MB | GpuUtil=87% | Power=172.60/300.00W
[GPU 2] Task=copy_batch           | Batch=3 UBatch=0 | Partition=2 Target=False | StartTime=1775004455.645040 | Wall=220.47 ms | CUDA=220.35 ms | ExecWall=0.11 ms | QWait=220.36 ms | SyncWait=244.26 ms | InjectedSleep=0.00 ms | Mem=784.28 MB | MaxMem=5341.46 MB | GpuUtil=97% | Power=155.23/300.00W
[GPU 2] Task=compute_forward      | Batch=3 UBatch=0 | Partition=2 Target=True | StartTime=1775004454.546013 | Wall=1323.60 ms | CUDA=1323.54 ms | ExecWall=1323.60 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=685.78 MB | MaxMem=5341.46 MB | GpuUtil=97% | Power=155.23/300.00W
[GPU 2] Task=compute_forward      | Batch=3 UBatch=0 | Partition=2 Target=False | StartTime=1775004455.878294 | Wall=45.79 ms | CUDA=45.75 ms | ExecWall=45.78 ms | QWait=0.01 ms | SyncWait=37.18 ms | InjectedSleep=0.00 ms | Mem=5193.96 MB | MaxMem=5341.46 MB | GpuUtil=97% | Power=155.23/300.00W
[GPU 2] Task=copy_batch_out       | Batch=3 UBatch=0 | Partition=2 Target=True | StartTime=1775004455.930507 | Wall=1.24 ms | CUDA=1.20 ms | ExecWall=1.24 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=5193.96 MB | MaxMem=5341.46 MB | GpuUtil=97% | Power=155.23/300.00W
[GPU 2] Task=copy_batch_out       | Batch=3 UBatch=0 | Partition=2 Target=False | StartTime=1775004455.938822 | Wall=18.92 ms | CUDA=18.88 ms | ExecWall=18.92 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=5095.46 MB | MaxMem=5341.46 MB | GpuUtil=97% | Power=155.21/300.00W
[GPU 2] Task=copy_grad            | Batch=3 UBatch=0 | Partition=2 Target=False | StartTime=1775004455.876550 | Wall=540.21 ms | CUDA=540.18 ms | ExecWall=0.19 ms | QWait=540.02 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=5095.46 MB | MaxMem=5341.46 MB | GpuUtil=0% | Power=134.68/300.00W
[GPU 2] Task=compute_backward     | Batch=3 UBatch=0 | Partition=2 Target=False | StartTime=1775004455.930533 | Wall=571.20 ms | CUDA=570.98 ms | ExecWall=0.00 ms | QWait=2057.61 ms | SyncWait=74.88 ms | InjectedSleep=0.00 ms | Mem=750.21 MB | MaxMem=5341.46 MB | GpuUtil=0% | Power=116.73/300.00W
[GPU 2] Task=copy_grad_out        | Batch=3 UBatch=0 | Partition=2 Target=False | StartTime=1775004454.443765 | Wall=2059.34 ms | CUDA=2059.28 ms | ExecWall=2059.34 ms | QWait=0.00 ms | SyncWait=0.02 ms | InjectedSleep=0.00 ms | Mem=750.21 MB | MaxMem=5341.46 MB | GpuUtil=0% | Power=116.73/300.00W
[GPU 2] Task=compute_optimize     | Batch=3 UBatch=0 | Partition=2 Target=False | StartTime=1775004456.507553 | Wall=38.99 ms | CUDA=38.95 ms | ExecWall=38.99 ms | QWait=0.00 ms | SyncWait=31.56 ms | InjectedSleep=0.00 ms | Mem=685.28 MB | MaxMem=5341.46 MB | GpuUtil=0% | Power=116.73/300.00W

====== Step 4 ======
[GPU 2] Task=copy_model           | Batch=4 UBatch=0 | Partition=2 Target=True | StartTime=1775004456.555317 | Wall=0.97 ms | CUDA=0.93 ms | ExecWall=0.97 ms | QWait=0.00 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=685.28 MB | MaxMem=5341.46 MB | GpuUtil=0% | Power=102.88/300.00W
[GPU 2] Task=copy_model           | Batch=4 UBatch=0 | Partition=2 Target=False | StartTime=1775004456.558732 | Wall=25.24 ms | CUDA=25.21 ms | ExecWall=25.24 ms | QWait=0.00 ms | SyncWait=23.17 ms | InjectedSleep=0.00 ms | Mem=587.28 MB | MaxMem=5341.46 MB | GpuUtil=19% | Power=102.88/300.00W
[GPU 2] Task=copy_batch           | Batch=4 UBatch=0 | Partition=2 Target=True | StartTime=1775004456.420033 | Wall=1173.54 ms | CUDA=1170.03 ms | ExecWall=0.00 ms | QWait=2201.80 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=587.78 MB | MaxMem=5341.46 MB | GpuUtil=89% | Power=170.76/300.00W
[GPU 2] Task=compute_forward      | Batch=4 UBatch=0 | Partition=2 Target=True | StartTime=1775004456.561364 | Wall=1289.71 ms | CUDA=1289.66 ms | ExecWall=1289.71 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=685.78 MB | MaxMem=5341.46 MB | GpuUtil=65% | Power=159.63/300.00W
