
====== Step 1 ======
[GPU 1] Task=copy_batch           | Batch=1 UBatch=0 | Partition=1 Target=True | StartTime=1774245676.047348 | Time=433.84 ms | Mem=385.07 MB | MaxMem=385.07 MB | GpuUtil=100% | Power=297.76/300.00W
[GPU 1] Task=copy_batch           | Batch=1 UBatch=0 | Partition=1 Target=False | StartTime=1774245676.522273 | Time=0.00 ms | Mem=389.15 MB | MaxMem=389.15 MB | GpuUtil=100% | Power=297.76/300.00W
[GPU 1] Task=compute_forward      | Batch=1 UBatch=0 | Partition=1 Target=True | StartTime=1774245676.047032 | Time=585.27 ms | Mem=393.20 MB | MaxMem=401.95 MB | GpuUtil=98% | Power=298.09/300.00W
[GPU 1] Task=compute_forward      | Batch=1 UBatch=0 | Partition=1 Target=False | StartTime=1774245676.647828 | Time=192.77 ms | Mem=428.95 MB | MaxMem=430.85 MB | GpuUtil=99% | Power=297.87/300.00W
[GPU 1] Task=copy_batch_out       | Batch=1 UBatch=0 | Partition=1 Target=True | StartTime=1774245676.853472 | Time=1.33 ms | Mem=428.95 MB | MaxMem=430.85 MB | GpuUtil=99% | Power=297.87/300.00W
[GPU 1] Task=copy_batch_out       | Batch=1 UBatch=0 | Partition=1 Target=False | StartTime=1774245676.858083 | Time=0.84 ms | Mem=428.95 MB | MaxMem=430.85 MB | GpuUtil=99% | Power=297.87/300.00W
[GPU 1] Task=copy_grad            | Batch=1 UBatch=0 | Partition=1 Target=False | StartTime=1774245676.526563 | Time=2327.02 ms | Mem=428.18 MB | MaxMem=430.85 MB | GpuUtil=100% | Power=297.86/300.00W
[GPU 1] Task=copy_grad_out        | Batch=1 UBatch=0 | Partition=1 Target=False | StartTime=1774245676.047410 | Time=2956.52 ms | Mem=440.22 MB | MaxMem=454.79 MB | GpuUtil=99% | Power=297.95/300.00W
[GPU 1] Task=compute_backward     | Batch=1 UBatch=0 | Partition=1 Target=False | StartTime=1774245676.853875 | Time=2148.85 ms | Mem=440.22 MB | MaxMem=454.79 MB | GpuUtil=99% | Power=297.95/300.00W
[GPU 1] Task=compute_optimize     | Batch=1 UBatch=0 | Partition=1 Target=False | StartTime=1774245679.044995 | Time=40.97 ms | Mem=485.58 MB | MaxMem=531.62 MB | GpuUtil=99% | Power=297.60/300.00W

====== Step 2 ======
[GPU 1] Task=copy_model           | Batch=2 UBatch=0 | Partition=1 Target=True | StartTime=1774245679.089605 | Time=1.16 ms | Mem=485.58 MB | MaxMem=531.62 MB | GpuUtil=99% | Power=297.60/300.00W
[GPU 1] Task=copy_model           | Batch=2 UBatch=0 | Partition=1 Target=False | StartTime=1774245679.097505 | Time=3.67 ms | Mem=485.58 MB | MaxMem=531.62 MB | GpuUtil=99% | Power=297.60/300.00W
[GPU 1] Task=copy_batch           | Batch=2 UBatch=0 | Partition=1 Target=True | StartTime=1774245678.858476 | Time=403.20 ms | Mem=494.93 MB | MaxMem=531.62 MB | GpuUtil=99% | Power=297.57/300.00W
[GPU 1] Task=copy_batch           | Batch=2 UBatch=0 | Partition=1 Target=False | StartTime=1774245679.266824 | Time=0.00 ms | Mem=487.12 MB | MaxMem=531.62 MB | GpuUtil=99% | Power=297.57/300.00W
[GPU 1] Task=compute_forward      | Batch=2 UBatch=0 | Partition=1 Target=True | StartTime=1774245679.097392 | Time=173.14 ms | Mem=486.35 MB | MaxMem=531.62 MB | GpuUtil=99% | Power=297.57/300.00W
[GPU 1] Task=compute_forward      | Batch=2 UBatch=0 | Partition=1 Target=False | StartTime=1774245679.279982 | Time=7.27 ms | Mem=521.32 MB | MaxMem=531.62 MB | GpuUtil=99% | Power=297.67/300.00W
[GPU 1] Task=copy_batch_out       | Batch=2 UBatch=0 | Partition=1 Target=True | StartTime=1774245679.290250 | Time=1.14 ms | Mem=521.32 MB | MaxMem=531.62 MB | GpuUtil=99% | Power=297.67/300.00W
[GPU 1] Task=copy_batch_out       | Batch=2 UBatch=0 | Partition=1 Target=False | StartTime=1774245679.294315 | Time=0.98 ms | Mem=520.55 MB | MaxMem=531.62 MB | GpuUtil=99% | Power=297.67/300.00W
[GPU 1] Task=copy_grad            | Batch=2 UBatch=0 | Partition=1 Target=False | StartTime=1774245679.269638 | Time=102.57 ms | Mem=520.55 MB | MaxMem=531.62 MB | GpuUtil=99% | Power=297.67/300.00W
[GPU 1] Task=compute_backward     | Batch=2 UBatch=0 | Partition=1 Target=False | StartTime=1774245679.290338 | Time=96.77 ms | Mem=531.99 MB | MaxMem=547.32 MB | GpuUtil=99% | Power=297.42/300.00W
[GPU 1] Task=copy_grad_out        | Batch=2 UBatch=0 | Partition=1 Target=False | StartTime=1774245679.043561 | Time=343.38 ms | Mem=531.99 MB | MaxMem=547.32 MB | GpuUtil=99% | Power=297.42/300.00W
[GPU 1] Task=compute_optimize     | Batch=2 UBatch=0 | Partition=1 Target=False | StartTime=1774245679.390015 | Time=13.41 ms | Mem=485.58 MB | MaxMem=547.32 MB | GpuUtil=100% | Power=297.42/300.00W

====== Step 3 ======
[GPU 1] Task=copy_model           | Batch=3 UBatch=0 | Partition=1 Target=True | StartTime=1774245679.408772 | Time=1.19 ms | Mem=485.58 MB | MaxMem=547.32 MB | GpuUtil=100% | Power=297.42/300.00W
[GPU 1] Task=copy_model           | Batch=3 UBatch=0 | Partition=1 Target=False | StartTime=1774245679.414310 | Time=3.71 ms | Mem=485.58 MB | MaxMem=547.32 MB | GpuUtil=100% | Power=297.42/300.00W
[GPU 1] Task=copy_batch           | Batch=3 UBatch=0 | Partition=1 Target=True | StartTime=1774245679.379721 | Time=56.98 ms | Mem=484.81 MB | MaxMem=547.32 MB | GpuUtil=100% | Power=297.42/300.00W
[GPU 1] Task=copy_batch           | Batch=3 UBatch=0 | Partition=1 Target=False | StartTime=1774245679.442004 | Time=1.53 ms | Mem=487.12 MB | MaxMem=547.32 MB | GpuUtil=100% | Power=297.42/300.00W
[GPU 1] Task=compute_forward      | Batch=3 UBatch=0 | Partition=1 Target=True | StartTime=1774245679.414596 | Time=32.55 ms | Mem=486.35 MB | MaxMem=547.32 MB | GpuUtil=100% | Power=297.42/300.00W
[GPU 1] Task=compute_forward      | Batch=3 UBatch=0 | Partition=1 Target=False | StartTime=1774245679.450117 | Time=9.07 ms | Mem=521.32 MB | MaxMem=547.32 MB | GpuUtil=100% | Power=297.42/300.00W
[GPU 1] Task=copy_batch_out       | Batch=3 UBatch=0 | Partition=1 Target=True | StartTime=1774245679.464114 | Time=1.61 ms | Mem=520.55 MB | MaxMem=547.32 MB | GpuUtil=100% | Power=297.42/300.00W
[GPU 1] Task=copy_batch_out       | Batch=3 UBatch=0 | Partition=1 Target=False | StartTime=1774245679.471031 | Time=2.46 ms | Mem=519.78 MB | MaxMem=547.32 MB | GpuUtil=100% | Power=297.42/300.00W
[GPU 1] Task=copy_grad            | Batch=3 UBatch=0 | Partition=1 Target=False | StartTime=1774245679.448304 | Time=99.95 ms | Mem=520.55 MB | MaxMem=547.32 MB | GpuUtil=100% | Power=297.57/300.00W
[GPU 1] Task=compute_backward     | Batch=3 UBatch=0 | Partition=1 Target=False | StartTime=1774245679.462736 | Time=95.18 ms | Mem=533.53 MB | MaxMem=547.32 MB | GpuUtil=100% | Power=297.57/300.00W
[GPU 1] Task=copy_grad_out        | Batch=3 UBatch=0 | Partition=1 Target=False | StartTime=1774245679.392128 | Time=169.37 ms | Mem=531.99 MB | MaxMem=547.32 MB | GpuUtil=100% | Power=297.57/300.00W
[GPU 1] Task=compute_optimize     | Batch=3 UBatch=0 | Partition=1 Target=False | StartTime=1774245679.562046 | Time=4.95 ms | Mem=485.58 MB | MaxMem=547.32 MB | GpuUtil=100% | Power=297.57/300.00W

====== Step 4 ======
[GPU 1] Task=copy_model           | Batch=4 UBatch=0 | Partition=1 Target=True | StartTime=1774245679.571198 | Time=0.00 ms | Mem=485.58 MB | MaxMem=547.32 MB | GpuUtil=100% | Power=297.57/300.00W
[GPU 1] Task=copy_model           | Batch=4 UBatch=0 | Partition=1 Target=False | StartTime=1774245679.581087 | Time=4.83 ms | Mem=485.58 MB | MaxMem=547.32 MB | GpuUtil=100% | Power=297.76/300.00W
[GPU 1] Task=copy_batch           | Batch=4 UBatch=0 | Partition=1 Target=True | StartTime=1774245679.552096 | Time=64.58 ms | Mem=484.81 MB | MaxMem=547.32 MB | GpuUtil=98% | Power=297.76/300.00W
[GPU 1] Task=copy_batch           | Batch=4 UBatch=0 | Partition=1 Target=False | StartTime=1774245679.620978 | Time=0.03 ms | Mem=494.81 MB | MaxMem=547.32 MB | GpuUtil=98% | Power=297.76/300.00W
[GPU 1] Task=compute_forward      | Batch=4 UBatch=0 | Partition=1 Target=True | StartTime=1774245679.579916 | Time=44.59 ms | Mem=486.35 MB | MaxMem=547.32 MB | GpuUtil=98% | Power=297.76/300.00W
[GPU 1] Task=compute_forward      | Batch=4 UBatch=0 | Partition=1 Target=False | StartTime=1774245679.629026 | Time=9.73 ms | Mem=521.32 MB | MaxMem=547.32 MB | GpuUtil=98% | Power=297.76/300.00W
[GPU 1] Task=copy_batch_out       | Batch=4 UBatch=0 | Partition=1 Target=True | StartTime=1774245679.641984 | Time=1.10 ms | Mem=521.32 MB | MaxMem=547.32 MB | GpuUtil=98% | Power=297.76/300.00W
[GPU 1] Task=copy_batch_out       | Batch=4 UBatch=0 | Partition=1 Target=False | StartTime=1774245679.645813 | Time=0.93 ms | Mem=520.55 MB | MaxMem=547.32 MB | GpuUtil=98% | Power=297.76/300.00W
[GPU 1] Task=copy_grad            | Batch=4 UBatch=0 | Partition=1 Target=False | StartTime=1774245679.623811 | Time=100.45 ms | Mem=520.55 MB | MaxMem=547.32 MB | GpuUtil=98% | Power=297.62/300.00W
[GPU 1] Task=compute_backward     | Batch=4 UBatch=0 | Partition=1 Target=False | StartTime=1774245679.641919 | Time=92.62 ms | Mem=533.53 MB | MaxMem=547.32 MB | GpuUtil=98% | Power=297.62/300.00W
[GPU 1] Task=copy_grad_out        | Batch=4 UBatch=0 | Partition=1 Target=False | StartTime=1774245679.565379 | Time=171.04 ms | Mem=531.99 MB | MaxMem=547.32 MB | GpuUtil=98% | Power=297.62/300.00W
[GPU 1] Task=compute_optimize     | Batch=4 UBatch=0 | Partition=1 Target=False | StartTime=1774245679.737795 | Time=6.17 ms | Mem=485.58 MB | MaxMem=547.32 MB | GpuUtil=98% | Power=297.62/300.00W

====== Step 5 ======
[GPU 1] Task=copy_model           | Batch=5 UBatch=0 | Partition=1 Target=True | StartTime=1774245679.747155 | Time=1.17 ms | Mem=485.58 MB | MaxMem=547.32 MB | GpuUtil=98% | Power=297.62/300.00W
[GPU 1] Task=copy_model           | Batch=5 UBatch=0 | Partition=1 Target=False | StartTime=1774245679.751925 | Time=2.36 ms | Mem=485.58 MB | MaxMem=547.32 MB | GpuUtil=98% | Power=297.62/300.00W
[GPU 1] Task=copy_batch           | Batch=5 UBatch=0 | Partition=1 Target=True | StartTime=1774245679.728946 | Time=56.18 ms | Mem=491.03 MB | MaxMem=547.32 MB | GpuUtil=98% | Power=297.68/300.00W
[GPU 1] Task=copy_batch           | Batch=5 UBatch=0 | Partition=1 Target=False | StartTime=1774245679.788414 | Time=1.91 ms | Mem=487.12 MB | MaxMem=547.32 MB | GpuUtil=99% | Power=297.68/300.00W
[GPU 1] Task=compute_forward      | Batch=5 UBatch=0 | Partition=1 Target=True | StartTime=1774245679.752190 | Time=42.10 ms | Mem=486.35 MB | MaxMem=547.32 MB | GpuUtil=99% | Power=297.68/300.00W
[GPU 1] Task=compute_forward      | Batch=5 UBatch=0 | Partition=1 Target=False | StartTime=1774245679.798404 | Time=7.64 ms | Mem=521.32 MB | MaxMem=547.32 MB | GpuUtil=99% | Power=297.68/300.00W
[GPU 1] Task=copy_batch_out       | Batch=5 UBatch=0 | Partition=1 Target=True | StartTime=1774245679.811981 | Time=1.62 ms | Mem=521.32 MB | MaxMem=547.32 MB | GpuUtil=99% | Power=297.68/300.00W
[GPU 1] Task=copy_batch_out       | Batch=5 UBatch=0 | Partition=1 Target=False | StartTime=1774245679.817101 | Time=2.15 ms | Mem=519.78 MB | MaxMem=547.32 MB | GpuUtil=99% | Power=297.68/300.00W
[GPU 1] Task=copy_grad            | Batch=5 UBatch=0 | Partition=1 Target=False | StartTime=1774245679.796432 | Time=100.28 ms | Mem=524.80 MB | MaxMem=547.32 MB | GpuUtil=99% | Power=297.93/300.00W
[GPU 1] Task=copy_grad_out        | Batch=5 UBatch=0 | Partition=1 Target=False | StartTime=1774245679.740149 | Time=168.49 ms | Mem=533.53 MB | MaxMem=547.32 MB | GpuUtil=99% | Power=297.93/300.00W
[GPU 1] Task=compute_backward     | Batch=5 UBatch=0 | Partition=1 Target=False | StartTime=1774245679.811200 | Time=96.77 ms | Mem=533.53 MB | MaxMem=547.32 MB | GpuUtil=99% | Power=297.93/300.00W
[GPU 1] Task=compute_optimize     | Batch=5 UBatch=0 | Partition=1 Target=False | StartTime=1774245679.914314 | Time=4.89 ms | Mem=485.58 MB | MaxMem=547.32 MB | GpuUtil=99% | Power=297.93/300.00W

====== Step 6 ======
[GPU 1] Task=copy_model           | Batch=6 UBatch=0 | Partition=1 Target=True | StartTime=1774245679.923978 | Time=0.00 ms | Mem=485.58 MB | MaxMem=547.32 MB | GpuUtil=99% | Power=297.93/300.00W
[GPU 1] Task=copy_model           | Batch=6 UBatch=0 | Partition=1 Target=False | StartTime=1774245679.928445 | Time=2.65 ms | Mem=485.58 MB | MaxMem=547.32 MB | GpuUtil=99% | Power=297.93/300.00W
[GPU 1] Task=copy_batch           | Batch=6 UBatch=0 | Partition=1 Target=True | StartTime=1774245679.900799 | Time=63.31 ms | Mem=484.81 MB | MaxMem=547.32 MB | GpuUtil=99% | Power=297.93/300.00W
[GPU 1] Task=copy_batch           | Batch=6 UBatch=0 | Partition=1 Target=False | StartTime=1774245679.968046 | Time=0.35 ms | Mem=489.42 MB | MaxMem=547.32 MB | GpuUtil=99% | Power=297.93/300.00W
[GPU 1] Task=compute_forward      | Batch=6 UBatch=0 | Partition=1 Target=True | StartTime=1774245679.929173 | Time=44.44 ms | Mem=486.35 MB | MaxMem=547.32 MB | GpuUtil=99% | Power=297.93/300.00W
[GPU 1] Task=compute_forward      | Batch=6 UBatch=0 | Partition=1 Target=False | StartTime=1774245679.996609 | Time=9.04 ms | Mem=521.32 MB | MaxMem=547.32 MB | GpuUtil=100% | Power=297.74/300.00W
[GPU 1] Task=copy_batch_out       | Batch=6 UBatch=0 | Partition=1 Target=True | StartTime=1774245680.008650 | Time=2.06 ms | Mem=521.32 MB | MaxMem=547.32 MB | GpuUtil=100% | Power=297.74/300.00W
[GPU 1] Task=copy_batch_out       | Batch=6 UBatch=0 | Partition=1 Target=False | StartTime=1774245680.014214 | Time=2.16 ms | Mem=520.55 MB | MaxMem=547.32 MB | GpuUtil=100% | Power=297.74/300.00W
[GPU 1] Task=copy_grad            | Batch=6 UBatch=0 | Partition=1 Target=False | StartTime=1774245679.994827 | Time=93.93 ms | Mem=520.55 MB | MaxMem=547.32 MB | GpuUtil=100% | Power=297.84/300.00W
[GPU 1] Task=copy_grad_out        | Batch=6 UBatch=0 | Partition=1 Target=False | StartTime=1774245679.912729 | Time=187.19 ms | Mem=533.53 MB | MaxMem=547.32 MB | GpuUtil=100% | Power=297.84/300.00W
[GPU 1] Task=compute_backward     | Batch=6 UBatch=0 | Partition=1 Target=False | StartTime=1774245680.008506 | Time=89.19 ms | Mem=533.53 MB | MaxMem=547.32 MB | GpuUtil=100% | Power=297.84/300.00W
[GPU 1] Task=compute_optimize     | Batch=6 UBatch=0 | Partition=1 Target=False | StartTime=1774245680.107192 | Time=5.27 ms | Mem=485.58 MB | MaxMem=547.32 MB | GpuUtil=100% | Power=297.84/300.00W

====== Step 7 ======
[GPU 1] Task=copy_model           | Batch=7 UBatch=0 | Partition=1 Target=True | StartTime=1774245680.115453 | Time=1.21 ms | Mem=485.58 MB | MaxMem=547.32 MB | GpuUtil=100% | Power=297.84/300.00W
[GPU 1] Task=copy_model           | Batch=7 UBatch=0 | Partition=1 Target=False | StartTime=1774245680.119308 | Time=4.09 ms | Mem=485.58 MB | MaxMem=547.32 MB | GpuUtil=100% | Power=297.84/300.00W
[GPU 1] Task=copy_batch           | Batch=7 UBatch=0 | Partition=1 Target=True | StartTime=1774245680.096200 | Time=56.60 ms | Mem=493.40 MB | MaxMem=547.32 MB | GpuUtil=100% | Power=297.84/300.00W
[GPU 1] Task=copy_batch           | Batch=7 UBatch=0 | Partition=1 Target=False | StartTime=1774245680.157956 | Time=0.16 ms | Mem=487.12 MB | MaxMem=547.32 MB | GpuUtil=100% | Power=297.84/300.00W
[GPU 1] Task=compute_forward      | Batch=7 UBatch=0 | Partition=1 Target=True | StartTime=1774245680.119588 | Time=42.36 ms | Mem=486.35 MB | MaxMem=547.32 MB | GpuUtil=100% | Power=297.84/300.00W
[GPU 1] Task=compute_forward      | Batch=7 UBatch=0 | Partition=1 Target=False | StartTime=1774245680.168630 | Time=7.60 ms | Mem=521.32 MB | MaxMem=547.32 MB | GpuUtil=100% | Power=297.84/300.00W
[GPU 1] Task=copy_batch_out       | Batch=7 UBatch=0 | Partition=1 Target=True | StartTime=1774245680.180954 | Time=2.28 ms | Mem=521.32 MB | MaxMem=547.32 MB | GpuUtil=100% | Power=298.32/300.00W
