
====== Step 1 ======
[GPU 2] Task=copy_batch           | Batch=1 UBatch=0 | Partition=2 Target=True | StartTime=1774245078.049363 | Time=2147.36 ms | Mem=271.32 MB | MaxMem=271.32 MB | GpuUtil=57% | Power=200.65/300.00W
[GPU 2] Task=copy_batch           | Batch=1 UBatch=0 | Partition=2 Target=False | StartTime=1774245080.225225 | Time=0.06 ms | Mem=284.63 MB | MaxMem=284.63 MB | GpuUtil=57% | Power=200.65/300.00W
[GPU 2] Task=compute_forward      | Batch=1 UBatch=0 | Partition=2 Target=True | StartTime=1774245078.046464 | Time=2342.76 ms | Mem=279.45 MB | MaxMem=313.79 MB | GpuUtil=49% | Power=200.78/300.00W
[GPU 2] Task=compute_forward      | Batch=1 UBatch=0 | Partition=2 Target=False | StartTime=1774245080.406558 | Time=243.16 ms | Mem=437.38 MB | MaxMem=437.38 MB | GpuUtil=49% | Power=201.64/300.00W
[GPU 2] Task=copy_batch_out       | Batch=1 UBatch=0 | Partition=2 Target=True | StartTime=1774245080.664537 | Time=1.48 ms | Mem=437.38 MB | MaxMem=437.38 MB | GpuUtil=48% | Power=201.88/300.00W
[GPU 2] Task=copy_batch_out       | Batch=1 UBatch=0 | Partition=2 Target=False | StartTime=1774245080.669304 | Time=0.91 ms | Mem=437.38 MB | MaxMem=437.38 MB | GpuUtil=48% | Power=201.88/300.00W
[GPU 2] Task=copy_grad            | Batch=1 UBatch=0 | Partition=2 Target=False | StartTime=1774245080.236368 | Time=1490.15 ms | Mem=434.30 MB | MaxMem=437.38 MB | GpuUtil=46% | Power=201.04/300.00W
[GPU 2] Task=compute_backward     | Batch=1 UBatch=0 | Partition=2 Target=False | StartTime=1774245080.664905 | Time=1110.61 ms | Mem=364.81 MB | MaxMem=443.81 MB | GpuUtil=46% | Power=200.82/300.00W
[GPU 2] Task=copy_grad_out        | Batch=1 UBatch=0 | Partition=2 Target=False | StartTime=1774245078.046189 | Time=3731.01 ms | Mem=364.81 MB | MaxMem=443.81 MB | GpuUtil=46% | Power=200.82/300.00W
[GPU 2] Task=compute_optimize     | Batch=1 UBatch=0 | Partition=2 Target=False | StartTime=1774245081.782118 | Time=61.02 ms | Mem=424.32 MB | MaxMem=511.39 MB | GpuUtil=46% | Power=200.82/300.00W

====== Step 2 ======
[GPU 2] Task=copy_model           | Batch=2 UBatch=0 | Partition=2 Target=True | StartTime=1774245081.846076 | Time=1.18 ms | Mem=424.32 MB | MaxMem=511.39 MB | GpuUtil=46% | Power=200.82/300.00W
[GPU 2] Task=copy_model           | Batch=2 UBatch=0 | Partition=2 Target=False | StartTime=1774245081.854077 | Time=2.17 ms | Mem=424.32 MB | MaxMem=511.39 MB | GpuUtil=46% | Power=201.69/300.00W
[GPU 2] Task=copy_batch           | Batch=2 UBatch=0 | Partition=2 Target=True | StartTime=1774245081.731297 | Time=518.17 ms | Mem=415.15 MB | MaxMem=511.39 MB | GpuUtil=47% | Power=201.76/300.00W
[GPU 2] Task=compute_forward      | Batch=2 UBatch=0 | Partition=2 Target=True | StartTime=1774245081.853966 | Time=405.87 ms | Mem=421.27 MB | MaxMem=511.39 MB | GpuUtil=47% | Power=201.74/300.00W
