
====== Step 1 ======
[GPU 2] Task=copy_batch           | Batch=1 UBatch=0 | Partition=2 Target=True | StartTime=1774860983.608313 | Time=1522.08 ms | Mem=478.55 MB | MaxMem=478.55 MB | GpuUtil=0% | Power=87.28/300.00W
[GPU 2] Task=copy_batch           | Batch=1 UBatch=0 | Partition=2 Target=False | StartTime=1774860985.154741 | Time=0.06 ms | Mem=553.50 MB | MaxMem=553.50 MB | GpuUtil=0% | Power=87.28/300.00W
[GPU 2] Task=compute_forward      | Batch=1 UBatch=0 | Partition=2 Target=True | StartTime=1774860983.608066 | Time=1739.88 ms | Mem=462.00 MB | MaxMem=737.25 MB | GpuUtil=0% | Power=85.59/300.00W
[GPU 2] Task=compute_forward      | Batch=1 UBatch=0 | Partition=2 Target=False | StartTime=1774860985.361845 | Time=194.16 ms | Mem=1663.19 MB | MaxMem=1663.19 MB | GpuUtil=0% | Power=85.51/300.00W
[GPU 2] Task=copy_batch_out       | Batch=1 UBatch=0 | Partition=2 Target=True | StartTime=1774860985.583517 | Time=1.15 ms | Mem=1663.19 MB | MaxMem=1663.19 MB | GpuUtil=0% | Power=85.51/300.00W
[GPU 2] Task=copy_batch_out       | Batch=1 UBatch=0 | Partition=2 Target=False | StartTime=1774860985.590446 | Time=2.67 ms | Mem=1663.19 MB | MaxMem=1663.19 MB | GpuUtil=0% | Power=85.51/300.00W
[GPU 2] Task=copy_grad            | Batch=1 UBatch=0 | Partition=2 Target=False | StartTime=1774860985.162609 | Time=1406.11 ms | Mem=1638.57 MB | MaxMem=1663.19 MB | GpuUtil=0% | Power=85.38/300.00W
[GPU 2] Task=copy_grad_out        | Batch=1 UBatch=0 | Partition=2 Target=False | StartTime=1774860983.608271 | Time=3034.03 ms | Mem=530.57 MB | MaxMem=1700.82 MB | GpuUtil=0% | Power=85.37/300.00W
[GPU 2] Task=compute_backward     | Batch=1 UBatch=0 | Partition=2 Target=False | StartTime=1774860985.583489 | Time=1056.24 ms | Mem=530.57 MB | MaxMem=1700.82 MB | GpuUtil=0% | Power=85.37/300.00W
[GPU 2] Task=compute_optimize     | Batch=1 UBatch=0 | Partition=2 Target=False | StartTime=1774860986.650837 | Time=67.07 ms | Mem=574.38 MB | MaxMem=1700.82 MB | GpuUtil=0% | Power=85.38/300.00W

====== Step 2 ======
[GPU 2] Task=copy_model           | Batch=2 UBatch=0 | Partition=2 Target=True | StartTime=1774860986.722464 | Time=3.94 ms | Mem=574.38 MB | MaxMem=1700.82 MB | GpuUtil=0% | Power=85.38/300.00W
[GPU 2] Task=copy_model           | Batch=2 UBatch=0 | Partition=2 Target=False | StartTime=1774860986.732176 | Time=2.07 ms | Mem=574.38 MB | MaxMem=1700.82 MB | GpuUtil=0% | Power=85.38/300.00W
[GPU 2] Task=copy_batch           | Batch=2 UBatch=0 | Partition=2 Target=True | StartTime=1774860986.573064 | Time=633.92 ms | Mem=574.50 MB | MaxMem=1700.82 MB | GpuUtil=18% | Power=105.90/300.00W
[GPU 2] Task=copy_batch           | Batch=2 UBatch=0 | Partition=2 Target=False | StartTime=1774860987.210826 | Time=39.02 ms | Mem=623.63 MB | MaxMem=1700.82 MB | GpuUtil=18% | Power=105.90/300.00W
[GPU 2] Task=compute_forward      | Batch=2 UBatch=0 | Partition=2 Target=True | StartTime=1774860986.732064 | Time=546.11 ms | Mem=599.00 MB | MaxMem=1700.82 MB | GpuUtil=18% | Power=105.90/300.00W
[GPU 2] Task=compute_forward      | Batch=2 UBatch=0 | Partition=2 Target=False | StartTime=1774860987.281217 | Time=14.66 ms | Mem=1800.19 MB | MaxMem=1800.19 MB | GpuUtil=18% | Power=105.90/300.00W
[GPU 2] Task=copy_batch_out       | Batch=2 UBatch=0 | Partition=2 Target=True | StartTime=1774860987.300291 | Time=1.55 ms | Mem=1800.19 MB | MaxMem=1800.19 MB | GpuUtil=18% | Power=105.90/300.00W
[GPU 2] Task=copy_batch_out       | Batch=2 UBatch=0 | Partition=2 Target=False | StartTime=1774860987.304129 | Time=2.93 ms | Mem=1800.19 MB | MaxMem=1800.19 MB | GpuUtil=18% | Power=106.89/300.00W
[GPU 2] Task=copy_grad            | Batch=2 UBatch=0 | Partition=2 Target=False | StartTime=1774860987.252362 | Time=214.77 ms | Mem=1775.57 MB | MaxMem=1800.19 MB | GpuUtil=48% | Power=107.99/300.00W
[GPU 2] Task=compute_backward     | Batch=2 UBatch=0 | Partition=2 Target=False | StartTime=1774860987.302414 | Time=190.73 ms | Mem=670.19 MB | MaxMem=1837.82 MB | GpuUtil=48% | Power=107.99/300.00W
[GPU 2] Task=copy_grad_out        | Batch=2 UBatch=0 | Partition=2 Target=False | StartTime=1774860986.649237 | Time=845.41 ms | Mem=670.19 MB | MaxMem=1837.82 MB | GpuUtil=48% | Power=107.99/300.00W
[GPU 2] Task=compute_optimize     | Batch=2 UBatch=0 | Partition=2 Target=False | StartTime=1774860987.499675 | Time=31.88 ms | Mem=574.38 MB | MaxMem=1837.82 MB | GpuUtil=0% | Power=109.09/300.00W

====== Step 3 ======
[GPU 2] Task=copy_model           | Batch=3 UBatch=0 | Partition=2 Target=True | StartTime=1774860987.538226 | Time=1.25 ms | Mem=574.38 MB | MaxMem=1837.82 MB | GpuUtil=0% | Power=109.09/300.00W
[GPU 2] Task=copy_model           | Batch=3 UBatch=0 | Partition=2 Target=False | StartTime=1774860987.546270 | Time=2.28 ms | Mem=574.38 MB | MaxMem=1837.82 MB | GpuUtil=0% | Power=109.09/300.00W
[GPU 2] Task=copy_batch           | Batch=3 UBatch=0 | Partition=2 Target=True | StartTime=1774860987.469500 | Time=344.26 ms | Mem=574.50 MB | MaxMem=1837.82 MB | GpuUtil=3% | Power=132.97/300.00W
[GPU 2] Task=copy_batch           | Batch=3 UBatch=0 | Partition=2 Target=False | StartTime=1774860987.821762 | Time=26.35 ms | Mem=623.63 MB | MaxMem=1837.82 MB | GpuUtil=3% | Power=132.97/300.00W
[GPU 2] Task=compute_forward      | Batch=3 UBatch=0 | Partition=2 Target=True | StartTime=1774860987.546298 | Time=338.39 ms | Mem=599.00 MB | MaxMem=1837.82 MB | GpuUtil=3% | Power=132.97/300.00W
