
====== Step 1 ======
[GPU 2] Task=copy_batch           | Batch=1 UBatch=0 | Partition=2 Target=True | StartTime=1774440102.151841 | Time=3757.57 ms | Mem=549.18 MB | MaxMem=549.18 MB | GpuUtil=100% | Power=256.65/300.00W
[GPU 2] Task=copy_batch           | Batch=1 UBatch=0 | Partition=2 Target=False | StartTime=1774440105.963969 | Time=0.00 ms | Mem=944.68 MB | MaxMem=944.68 MB | GpuUtil=100% | Power=256.65/300.00W
[GPU 2] Task=compute_forward      | Batch=1 UBatch=0 | Partition=2 Target=True | StartTime=1774440102.151986 | Time=4263.60 ms | Mem=557.30 MB | MaxMem=1658.30 MB | GpuUtil=0% | Power=174.48/300.00W
[GPU 2] Task=compute_forward      | Batch=1 UBatch=0 | Partition=2 Target=False | StartTime=1774440106.441586 | Time=231.82 ms | Mem=5065.48 MB | MaxMem=5065.48 MB | GpuUtil=0% | Power=129.95/300.00W
[GPU 2] Task=copy_batch_out       | Batch=1 UBatch=0 | Partition=2 Target=True | StartTime=1774440106.688750 | Time=1.64 ms | Mem=5065.48 MB | MaxMem=5065.48 MB | GpuUtil=0% | Power=129.95/300.00W
[GPU 2] Task=copy_batch_out       | Batch=1 UBatch=0 | Partition=2 Target=False | StartTime=1774440106.698578 | Time=1.64 ms | Mem=5065.48 MB | MaxMem=5065.48 MB | GpuUtil=0% | Power=129.95/300.00W
[GPU 2] Task=copy_grad            | Batch=1 UBatch=0 | Partition=2 Target=False | StartTime=1774440105.968436 | Time=2621.46 ms | Mem=4966.98 MB | MaxMem=5065.48 MB | GpuUtil=0% | Power=97.82/300.00W
[GPU 2] Task=compute_backward     | Batch=1 UBatch=0 | Partition=2 Target=False | StartTime=1774440106.690198 | Time=2027.92 ms | Mem=623.35 MB | MaxMem=5212.98 MB | GpuUtil=0% | Power=97.82/300.00W
[GPU 2] Task=copy_grad_out        | Batch=1 UBatch=0 | Partition=2 Target=False | StartTime=1774440102.152063 | Time=6573.35 ms | Mem=623.35 MB | MaxMem=5212.98 MB | GpuUtil=0% | Power=97.82/300.00W
[GPU 2] Task=compute_optimize     | Batch=1 UBatch=0 | Partition=2 Target=False | StartTime=1774440108.755128 | Time=161.94 ms | Mem=587.28 MB | MaxMem=5212.98 MB | GpuUtil=0% | Power=93.47/300.00W

====== Step 2 ======
[GPU 2] Task=copy_model           | Batch=2 UBatch=0 | Partition=2 Target=True | StartTime=1774440108.930911 | Time=0.00 ms | Mem=587.28 MB | MaxMem=5212.98 MB | GpuUtil=0% | Power=93.47/300.00W
[GPU 2] Task=copy_model           | Batch=2 UBatch=0 | Partition=2 Target=False | StartTime=1774440108.938535 | Time=4.74 ms | Mem=587.28 MB | MaxMem=5212.98 MB | GpuUtil=0% | Power=93.47/300.00W
