
====== Step 1 ======
[GPU 3] Task=copy_batch           | Batch=1 UBatch=0 | Partition=3 Target=True | StartTime=1774440102.022633 | Time=5192.08 ms | Mem=603.02 MB | MaxMem=603.02 MB | GpuUtil=100% | Power=278.26/300.00W
[GPU 3] Task=copy_batch           | Batch=1 UBatch=0 | Partition=3 Target=False | StartTime=1774440107.267749 | Time=0.00 ms | Mem=998.52 MB | MaxMem=998.52 MB | GpuUtil=100% | Power=272.02/300.00W
[GPU 3] Task=compute_forward      | Batch=1 UBatch=0 | Partition=3 Target=True | StartTime=1774440102.022880 | Time=5763.72 ms | Mem=512.69 MB | MaxMem=1712.14 MB | GpuUtil=100% | Power=278.51/300.00W
[GPU 3] Task=compute_forward      | Batch=1 UBatch=0 | Partition=3 Target=False | StartTime=1774440107.816962 | Time=309.63 ms | Mem=5196.54 MB | MaxMem=5245.44 MB | GpuUtil=100% | Power=273.81/300.00W
[GPU 3] Task=compute_loss         | Batch=1 UBatch=0 | Partition=3 Target=False | StartTime=1774440108.139643 | Time=59.99 ms | Mem=5196.49 MB | MaxMem=5245.44 MB | GpuUtil=100% | Power=278.63/300.00W
[GPU 3] Task=compute_backward     | Batch=1 UBatch=0 | Partition=3 Target=False | StartTime=1774440108.205028 | Time=266.19 ms | Mem=738.17 MB | MaxMem=5304.40 MB | GpuUtil=100% | Power=273.79/300.00W
[GPU 3] Task=copy_grad_out        | Batch=1 UBatch=0 | Partition=3 Target=False | StartTime=1774440102.022787 | Time=6450.06 ms | Mem=738.17 MB | MaxMem=5304.40 MB | GpuUtil=100% | Power=273.79/300.00W
[GPU 3] Task=compute_optimize     | Batch=1 UBatch=0 | Partition=3 Target=False | StartTime=1774440108.507062 | Time=85.61 ms | Mem=757.46 MB | MaxMem=5304.40 MB | GpuUtil=100% | Power=273.92/300.00W

====== Step 2 ======
[GPU 3] Task=copy_model           | Batch=2 UBatch=0 | Partition=3 Target=True | StartTime=1774440108.597023 | Time=1.11 ms | Mem=757.46 MB | MaxMem=5304.40 MB | GpuUtil=100% | Power=273.92/300.00W
[GPU 3] Task=copy_model           | Batch=2 UBatch=0 | Partition=3 Target=False | StartTime=1774440108.601288 | Time=3.48 ms | Mem=757.46 MB | MaxMem=5304.40 MB | GpuUtil=100% | Power=273.92/300.00W
[GPU 3] Task=copy_batch           | Batch=2 UBatch=0 | Partition=3 Target=True | StartTime=1774440107.273759 | Time=3703.57 ms | Mem=855.96 MB | MaxMem=5304.40 MB | GpuUtil=100% | Power=236.43/300.00W
[GPU 3] Task=copy_batch           | Batch=2 UBatch=0 | Partition=3 Target=False | StartTime=1774440110.983394 | Time=17.88 ms | Mem=856.00 MB | MaxMem=5304.40 MB | GpuUtil=100% | Power=236.43/300.00W
[GPU 3] Task=compute_forward      | Batch=2 UBatch=0 | Partition=3 Target=True | StartTime=1774440108.601244 | Time=2737.91 ms | Mem=757.50 MB | MaxMem=5304.40 MB | GpuUtil=100% | Power=244.18/300.00W
[GPU 3] Task=compute_forward      | Batch=2 UBatch=0 | Partition=3 Target=False | StartTime=1774440111.365548 | Time=73.77 ms | Mem=5441.35 MB | MaxMem=5489.25 MB | GpuUtil=100% | Power=239.38/300.00W
[GPU 3] Task=compute_loss         | Batch=2 UBatch=0 | Partition=3 Target=False | StartTime=1774440111.446822 | Time=3.36 ms | Mem=5441.30 MB | MaxMem=5489.25 MB | GpuUtil=100% | Power=239.38/300.00W
[GPU 3] Task=compute_backward     | Batch=2 UBatch=0 | Partition=3 Target=False | StartTime=1774440111.453492 | Time=128.23 ms | Mem=977.74 MB | MaxMem=5539.08 MB | GpuUtil=100% | Power=240.34/300.00W
[GPU 3] Task=copy_grad_out        | Batch=2 UBatch=0 | Partition=3 Target=False | StartTime=1774440108.513542 | Time=3069.83 ms | Mem=977.74 MB | MaxMem=5539.08 MB | GpuUtil=100% | Power=240.34/300.00W
[GPU 3] Task=compute_optimize     | Batch=2 UBatch=0 | Partition=3 Target=False | StartTime=1774440111.599801 | Time=17.07 ms | Mem=757.46 MB | MaxMem=5539.08 MB | GpuUtil=100% | Power=240.34/300.00W

====== Step 3 ======
[GPU 3] Task=copy_model           | Batch=3 UBatch=0 | Partition=3 Target=True | StartTime=1774440111.620391 | Time=1.94 ms | Mem=757.46 MB | MaxMem=5539.08 MB | GpuUtil=100% | Power=240.34/300.00W
[GPU 3] Task=copy_model           | Batch=3 UBatch=0 | Partition=3 Target=False | StartTime=1774440111.625510 | Time=3.30 ms | Mem=757.46 MB | MaxMem=5539.08 MB | GpuUtil=100% | Power=240.34/300.00W
[GPU 3] Task=copy_batch           | Batch=3 UBatch=0 | Partition=3 Target=True | StartTime=1774440111.007411 | Time=2647.79 ms | Mem=757.96 MB | MaxMem=5539.08 MB | GpuUtil=100% | Power=212.09/300.00W
[GPU 3] Task=copy_batch           | Batch=3 UBatch=0 | Partition=3 Target=False | StartTime=1774440113.663535 | Time=159.47 ms | Mem=856.00 MB | MaxMem=5539.08 MB | GpuUtil=100% | Power=191.31/300.00W
[GPU 3] Task=compute_forward      | Batch=3 UBatch=0 | Partition=3 Target=True | StartTime=1774440111.625815 | Time=2382.92 ms | Mem=757.50 MB | MaxMem=5539.08 MB | GpuUtil=100% | Power=170.68/300.00W
[GPU 3] Task=compute_forward      | Batch=3 UBatch=0 | Partition=3 Target=False | StartTime=1774440114.035045 | Time=62.10 ms | Mem=5441.35 MB | MaxMem=5539.08 MB | GpuUtil=99% | Power=171.39/300.00W
[GPU 3] Task=compute_loss         | Batch=3 UBatch=0 | Partition=3 Target=False | StartTime=1774440114.102982 | Time=3.01 ms | Mem=5441.30 MB | MaxMem=5539.08 MB | GpuUtil=99% | Power=171.39/300.00W
[GPU 3] Task=compute_backward     | Batch=3 UBatch=0 | Partition=3 Target=False | StartTime=1774440114.108517 | Time=160.59 ms | Mem=977.74 MB | MaxMem=5539.08 MB | GpuUtil=99% | Power=181.50/300.00W
[GPU 3] Task=copy_grad_out        | Batch=3 UBatch=0 | Partition=3 Target=False | StartTime=1774440111.598831 | Time=2673.74 ms | Mem=977.74 MB | MaxMem=5539.08 MB | GpuUtil=99% | Power=192.28/300.00W
[GPU 3] Task=compute_optimize     | Batch=3 UBatch=0 | Partition=3 Target=False | StartTime=1774440114.283814 | Time=21.29 ms | Mem=757.46 MB | MaxMem=5539.08 MB | GpuUtil=100% | Power=192.28/300.00W

====== Step 4 ======
[GPU 3] Task=copy_model           | Batch=4 UBatch=0 | Partition=3 Target=True | StartTime=1774440114.312286 | Time=1.63 ms | Mem=757.46 MB | MaxMem=5539.08 MB | GpuUtil=100% | Power=192.28/300.00W
[GPU 3] Task=copy_model           | Batch=4 UBatch=0 | Partition=3 Target=False | StartTime=1774440114.320559 | Time=3.10 ms | Mem=757.46 MB | MaxMem=5539.08 MB | GpuUtil=100% | Power=192.28/300.00W
[GPU 3] Task=copy_batch           | Batch=4 UBatch=0 | Partition=3 Target=True | StartTime=1774440113.854018 | Time=2571.68 ms | Mem=757.96 MB | MaxMem=5539.08 MB | GpuUtil=100% | Power=255.28/300.00W
[GPU 3] Task=copy_batch           | Batch=4 UBatch=0 | Partition=3 Target=False | StartTime=1774440116.431957 | Time=23.19 ms | Mem=856.00 MB | MaxMem=5539.08 MB | GpuUtil=100% | Power=255.28/300.00W
[GPU 3] Task=compute_forward      | Batch=4 UBatch=0 | Partition=3 Target=True | StartTime=1774440114.319607 | Time=2482.91 ms | Mem=757.50 MB | MaxMem=5539.08 MB | GpuUtil=100% | Power=252.74/300.00W
[GPU 3] Task=compute_forward      | Batch=4 UBatch=0 | Partition=3 Target=False | StartTime=1774440116.833124 | Time=56.53 ms | Mem=5441.35 MB | MaxMem=5539.08 MB | GpuUtil=100% | Power=247.11/300.00W
[GPU 3] Task=compute_loss         | Batch=4 UBatch=0 | Partition=3 Target=False | StartTime=1774440116.897702 | Time=3.09 ms | Mem=5441.30 MB | MaxMem=5539.08 MB | GpuUtil=100% | Power=247.11/300.00W
[GPU 3] Task=compute_backward     | Batch=4 UBatch=0 | Partition=3 Target=False | StartTime=1774440116.909515 | Time=137.76 ms | Mem=977.74 MB | MaxMem=5539.08 MB | GpuUtil=100% | Power=251.36/300.00W
[GPU 3] Task=copy_grad_out        | Batch=4 UBatch=0 | Partition=3 Target=False | StartTime=1774440114.288499 | Time=2758.76 ms | Mem=977.74 MB | MaxMem=5539.08 MB | GpuUtil=100% | Power=251.36/300.00W
[GPU 3] Task=compute_optimize     | Batch=4 UBatch=0 | Partition=3 Target=False | StartTime=1774440117.070892 | Time=8.00 ms | Mem=757.46 MB | MaxMem=5539.08 MB | GpuUtil=100% | Power=251.36/300.00W

====== Step 5 ======
[GPU 3] Task=copy_model           | Batch=5 UBatch=0 | Partition=3 Target=True | StartTime=1774440117.085146 | Time=1.19 ms | Mem=757.46 MB | MaxMem=5539.08 MB | GpuUtil=100% | Power=251.36/300.00W
[GPU 3] Task=copy_model           | Batch=5 UBatch=0 | Partition=3 Target=False | StartTime=1774440117.088760 | Time=3.51 ms | Mem=757.46 MB | MaxMem=5539.08 MB | GpuUtil=100% | Power=254.33/300.00W
[GPU 3] Task=copy_batch           | Batch=5 UBatch=0 | Partition=3 Target=True | StartTime=1774440116.464530 | Time=2567.70 ms | Mem=757.96 MB | MaxMem=5539.08 MB | GpuUtil=100% | Power=271.27/300.00W
[GPU 3] Task=copy_batch           | Batch=5 UBatch=0 | Partition=3 Target=False | StartTime=1774440119.038183 | Time=11.97 ms | Mem=856.00 MB | MaxMem=5539.08 MB | GpuUtil=100% | Power=271.27/300.00W
[GPU 3] Task=compute_forward      | Batch=5 UBatch=0 | Partition=3 Target=True | StartTime=1774440117.088789 | Time=2311.88 ms | Mem=757.50 MB | MaxMem=5539.08 MB | GpuUtil=100% | Power=269.55/300.00W
[GPU 3] Task=compute_forward      | Batch=5 UBatch=0 | Partition=3 Target=False | StartTime=1774440119.413990 | Time=69.44 ms | Mem=5441.35 MB | MaxMem=5539.08 MB | GpuUtil=100% | Power=269.34/300.00W
[GPU 3] Task=compute_loss         | Batch=5 UBatch=0 | Partition=3 Target=False | StartTime=1774440119.492007 | Time=2.55 ms | Mem=5441.30 MB | MaxMem=5539.08 MB | GpuUtil=100% | Power=269.34/300.00W
[GPU 3] Task=compute_backward     | Batch=5 UBatch=0 | Partition=3 Target=False | StartTime=1774440119.501068 | Time=166.11 ms | Mem=977.74 MB | MaxMem=5539.08 MB | GpuUtil=100% | Power=268.86/300.00W
[GPU 3] Task=copy_grad_out        | Batch=5 UBatch=0 | Partition=3 Target=False | StartTime=1774440117.072736 | Time=2595.79 ms | Mem=977.74 MB | MaxMem=5539.08 MB | GpuUtil=100% | Power=268.86/300.00W
[GPU 3] Task=compute_optimize     | Batch=5 UBatch=0 | Partition=3 Target=False | StartTime=1774440119.684714 | Time=17.07 ms | Mem=757.46 MB | MaxMem=5539.08 MB | GpuUtil=100% | Power=268.86/300.00W

====== Step 6 ======
[GPU 3] Task=copy_model           | Batch=6 UBatch=0 | Partition=3 Target=True | StartTime=1774440119.719964 | Time=1.63 ms | Mem=757.46 MB | MaxMem=5539.08 MB | GpuUtil=100% | Power=270.17/300.00W
[GPU 3] Task=copy_model           | Batch=6 UBatch=0 | Partition=3 Target=False | StartTime=1774440119.726048 | Time=3.25 ms | Mem=757.46 MB | MaxMem=5539.08 MB | GpuUtil=100% | Power=270.17/300.00W
[GPU 3] Task=copy_batch           | Batch=6 UBatch=0 | Partition=3 Target=True | StartTime=1774440119.054764 | Time=2461.98 ms | Mem=757.96 MB | MaxMem=5539.08 MB | GpuUtil=100% | Power=268.14/300.00W
[GPU 3] Task=copy_batch           | Batch=6 UBatch=0 | Partition=3 Target=False | StartTime=1774440121.532217 | Time=239.10 ms | Mem=856.00 MB | MaxMem=5539.08 MB | GpuUtil=100% | Power=268.55/300.00W
[GPU 3] Task=compute_forward      | Batch=6 UBatch=0 | Partition=3 Target=True | StartTime=1774440119.726796 | Time=2152.14 ms | Mem=757.50 MB | MaxMem=5539.08 MB | GpuUtil=100% | Power=265.75/300.00W
[GPU 3] Task=compute_forward      | Batch=6 UBatch=0 | Partition=3 Target=False | StartTime=1774440121.887551 | Time=85.54 ms | Mem=5441.35 MB | MaxMem=5539.08 MB | GpuUtil=100% | Power=268.81/300.00W
[GPU 3] Task=compute_loss         | Batch=6 UBatch=0 | Partition=3 Target=False | StartTime=1774440121.982022 | Time=3.11 ms | Mem=5441.30 MB | MaxMem=5539.08 MB | GpuUtil=100% | Power=268.81/300.00W
[GPU 3] Task=compute_backward     | Batch=6 UBatch=0 | Partition=3 Target=False | StartTime=1774440121.989543 | Time=139.20 ms | Mem=977.74 MB | MaxMem=5539.08 MB | GpuUtil=100% | Power=269.23/300.00W
[GPU 3] Task=copy_grad_out        | Batch=6 UBatch=0 | Partition=3 Target=False | StartTime=1774440119.684581 | Time=2447.34 ms | Mem=977.74 MB | MaxMem=5539.08 MB | GpuUtil=100% | Power=269.23/300.00W
[GPU 3] Task=compute_optimize     | Batch=6 UBatch=0 | Partition=3 Target=False | StartTime=1774440122.145856 | Time=19.58 ms | Mem=855.46 MB | MaxMem=5539.08 MB | GpuUtil=100% | Power=269.23/300.00W

====== Step 7 ======
[GPU 3] Task=copy_model           | Batch=7 UBatch=0 | Partition=3 Target=True | StartTime=1774440122.172930 | Time=1.71 ms | Mem=757.46 MB | MaxMem=5539.08 MB | GpuUtil=100% | Power=269.23/300.00W
[GPU 3] Task=copy_model           | Batch=7 UBatch=0 | Partition=3 Target=False | StartTime=1774440122.177535 | Time=3.12 ms | Mem=757.46 MB | MaxMem=5539.08 MB | GpuUtil=100% | Power=269.23/300.00W
[GPU 3] Task=copy_batch           | Batch=7 UBatch=0 | Partition=3 Target=True | StartTime=1774440121.785409 | Time=2702.72 ms | Mem=856.65 MB | MaxMem=5539.08 MB | GpuUtil=99% | Power=178.03/300.00W
