
====== Step 1 ======
[GPU 3] Task=copy_batch           | Batch=1 UBatch=0 | Partition=3 Target=True | StartTime=1774244861.511016 | Time=3178.71 ms | Mem=287.84 MB | MaxMem=287.84 MB | GpuUtil=98% | Power=295.71/300.00W
[GPU 3] Task=copy_batch           | Batch=1 UBatch=0 | Partition=3 Target=False | StartTime=1774244864.720447 | Time=0.06 ms | Mem=304.22 MB | MaxMem=304.22 MB | GpuUtil=98% | Power=295.71/300.00W
[GPU 3] Task=compute_forward      | Batch=1 UBatch=0 | Partition=3 Target=True | StartTime=1774244861.511231 | Time=3346.44 ms | Mem=295.95 MB | MaxMem=333.37 MB | GpuUtil=98% | Power=295.59/300.00W
[GPU 3] Task=compute_forward      | Batch=1 UBatch=0 | Partition=3 Target=False | StartTime=1774244864.869034 | Time=236.98 ms | Mem=387.46 MB | MaxMem=394.23 MB | GpuUtil=98% | Power=296.78/300.00W
[GPU 3] Task=compute_loss         | Batch=1 UBatch=0 | Partition=3 Target=False | StartTime=1774244865.117157 | Time=55.95 ms | Mem=387.46 MB | MaxMem=394.23 MB | GpuUtil=100% | Power=297.09/300.00W
[GPU 3] Task=compute_backward     | Batch=1 UBatch=0 | Partition=3 Target=False | StartTime=1774244865.177167 | Time=66.43 ms | Mem=406.16 MB | MaxMem=453.59 MB | GpuUtil=100% | Power=297.09/300.00W
[GPU 3] Task=copy_grad_out        | Batch=1 UBatch=0 | Partition=3 Target=False | StartTime=1774244861.511151 | Time=3734.67 ms | Mem=406.16 MB | MaxMem=453.59 MB | GpuUtil=100% | Power=297.09/300.00W
[GPU 3] Task=compute_optimize     | Batch=1 UBatch=0 | Partition=3 Target=False | StartTime=1774244865.250871 | Time=55.84 ms | Mem=496.12 MB | MaxMem=594.80 MB | GpuUtil=100% | Power=297.08/300.00W

====== Step 2 ======
[GPU 3] Task=copy_model           | Batch=2 UBatch=0 | Partition=3 Target=True | StartTime=1774244865.314782 | Time=0.86 ms | Mem=493.06 MB | MaxMem=594.80 MB | GpuUtil=100% | Power=297.08/300.00W
[GPU 3] Task=copy_model           | Batch=2 UBatch=0 | Partition=3 Target=False | StartTime=1774244865.322503 | Time=3.29 ms | Mem=493.06 MB | MaxMem=594.80 MB | GpuUtil=100% | Power=297.08/300.00W
[GPU 3] Task=copy_batch           | Batch=2 UBatch=0 | Partition=3 Target=True | StartTime=1774244864.723048 | Time=1221.78 ms | Mem=493.08 MB | MaxMem=594.80 MB | GpuUtil=98% | Power=291.03/300.00W
