
====== Step 1 ======
[GPU 0] Task=copy_grad            | Batch=2 UBatch=0 | Partition=0 Target=False | StartTime=1775098750.327988 | Wall=909.16 ms | CUDA=908.63 ms | ExecWall=0.00 ms | QWait=1661.33 ms | SyncWait=0.04 ms | InjectedSleep=0.00 ms | Mem=519.49 MB | MaxMem=568.42 MB | GpuUtil=5.3% | Power=89.99/300.00W
[GPU 0] Task=compute_backward     | Batch=2 UBatch=0 | Partition=0 Target=False | StartTime=1775098750.483781 | Wall=758.29 ms | CUDA=758.23 ms | ExecWall=758.29 ms | QWait=0.00 ms | SyncWait=3.41 ms | InjectedSleep=0.00 ms | Mem=109.15 MB | MaxMem=568.49 MB | GpuUtil=6.3% | Power=90.87/300.00W
[GPU 0] Task=compute_optimize     | Batch=2 UBatch=0 | Partition=0 Target=False | StartTime=1775098751.247722 | Wall=10.57 ms | CUDA=10.44 ms | ExecWall=10.57 ms | QWait=0.00 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=145.87 MB | MaxMem=568.49 MB | GpuUtil=0.0% | Power=92.33/300.00W

====== Step 3 ======
[GPU 0] Task=copy_batch           | Batch=3 UBatch=0 | Partition=0 Target=True | StartTime=1775098751.243206 | Wall=1.91 ms | CUDA=1.86 ms | ExecWall=1.91 ms | QWait=0.00 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=127.53 MB | MaxMem=568.49 MB | GpuUtil=0.0% | Power=92.33/300.00W
[GPU 0] Task=copy_batch           | Batch=3 UBatch=0 | Partition=0 Target=False | StartTime=1775098751.255378 | Wall=1.40 ms | CUDA=1.35 ms | ExecWall=1.40 ms | QWait=0.00 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=145.90 MB | MaxMem=568.49 MB | GpuUtil=0.0% | Power=92.33/300.00W
[GPU 0] Task=copy_model           | Batch=3 UBatch=0 | Partition=0 Target=True | StartTime=1775098751.260740 | Wall=0.81 ms | CUDA=0.75 ms | ExecWall=0.81 ms | QWait=0.00 ms | SyncWait=0.04 ms | InjectedSleep=0.00 ms | Mem=145.87 MB | MaxMem=568.49 MB | GpuUtil=0.0% | Power=92.33/300.00W
[GPU 0] Task=copy_model           | Batch=3 UBatch=0 | Partition=0 Target=False | StartTime=1775098751.273340 | Wall=11.00 ms | CUDA=4.02 ms | ExecWall=11.00 ms | QWait=0.00 ms | SyncWait=0.37 ms | InjectedSleep=0.00 ms | Mem=170.49 MB | MaxMem=568.49 MB | GpuUtil=0.0% | Power=92.33/300.00W
[GPU 0] Task=compute_forward      | Batch=3 UBatch=0 | Partition=0 Target=True | StartTime=1775098751.264033 | Wall=21.23 ms | CUDA=21.20 ms | ExecWall=21.23 ms | QWait=0.00 ms | SyncWait=14.86 ms | InjectedSleep=0.00 ms | Mem=152.12 MB | MaxMem=568.49 MB | GpuUtil=0.0% | Power=92.33/300.00W
[GPU 0] Task=compute_forward      | Batch=3 UBatch=0 | Partition=0 Target=False | StartTime=1775098751.289341 | Wall=2.21 ms | CUDA=2.18 ms | ExecWall=2.21 ms | QWait=0.00 ms | SyncWait=1.29 ms | InjectedSleep=0.00 ms | Mem=446.12 MB | MaxMem=568.49 MB | GpuUtil=0.0% | Power=92.33/300.00W
[GPU 0] Task=copy_batch_out       | Batch=3 UBatch=0 | Partition=0 Target=True | StartTime=1775098751.298386 | Wall=7.05 ms | CUDA=1.21 ms | ExecWall=7.04 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=446.12 MB | MaxMem=568.49 MB | GpuUtil=0.0% | Power=92.33/300.00W
[GPU 0] Task=copy_batch_out       | Batch=3 UBatch=0 | Partition=0 Target=False | StartTime=1775098751.308388 | Wall=0.88 ms | CUDA=0.74 ms | ExecWall=0.88 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=421.49 MB | MaxMem=568.49 MB | GpuUtil=0.0% | Power=92.33/300.00W
