
====== Step 1 ======
[GPU 0] Task=copy_batch           | Batch=1 UBatch=0 | Partition=0 Target=True | StartTime=1774244240.127633 | Time=8.41 ms | Mem=349.43 MB | MaxMem=349.43 MB | GpuUtil=1% | Power=110.36/300.00W
[GPU 0] Task=copy_batch           | Batch=1 UBatch=0 | Partition=0 Target=False | StartTime=1774244240.180537 | Time=0.23 ms | Mem=350.77 MB | MaxMem=350.77 MB | GpuUtil=1% | Power=110.38/300.00W
[GPU 0] Task=compute_forward      | Batch=1 UBatch=0 | Partition=0 Target=True | StartTime=1774244240.131854 | Time=447.21 ms | Mem=358.32 MB | MaxMem=366.88 MB | GpuUtil=3% | Power=110.45/300.00W
[GPU 0] Task=compute_forward      | Batch=1 UBatch=0 | Partition=0 Target=False | StartTime=1774244240.605454 | Time=118.74 ms | Mem=431.69 MB | MaxMem=431.69 MB | GpuUtil=3% | Power=111.45/300.00W
[GPU 0] Task=copy_batch_out       | Batch=1 UBatch=0 | Partition=0 Target=True | StartTime=1774244240.737609 | Time=1.14 ms | Mem=431.69 MB | MaxMem=431.69 MB | GpuUtil=3% | Power=111.45/300.00W
[GPU 0] Task=copy_batch_out       | Batch=1 UBatch=0 | Partition=0 Target=False | StartTime=1774244240.742046 | Time=515.59 ms | Mem=430.92 MB | MaxMem=431.69 MB | GpuUtil=3% | Power=111.47/300.00W
[GPU 0] Task=copy_grad            | Batch=1 UBatch=0 | Partition=0 Target=False | StartTime=1774244240.189010 | Time=4294.92 ms | Mem=430.92 MB | MaxMem=431.69 MB | GpuUtil=0% | Power=110.25/300.00W
[GPU 0] Task=compute_backward     | Batch=1 UBatch=0 | Partition=0 Target=False | StartTime=1774244240.737912 | Time=3858.01 ms | Mem=365.78 MB | MaxMem=436.48 MB | GpuUtil=0% | Power=110.27/300.00W
[GPU 0] Task=compute_optimize     | Batch=1 UBatch=0 | Partition=0 Target=False | StartTime=1774244244.599401 | Time=22.41 ms | Mem=373.43 MB | MaxMem=436.48 MB | GpuUtil=0% | Power=110.27/300.00W

====== Step 2 ======
[GPU 0] Task=copy_batch           | Batch=2 UBatch=0 | Partition=0 Target=True | StartTime=1774244244.496044 | Time=0.34 ms | Mem=434.56 MB | MaxMem=434.56 MB | GpuUtil=0% | Power=110.25/300.00W
[GPU 0] Task=copy_batch           | Batch=2 UBatch=0 | Partition=0 Target=False | StartTime=1774244244.501738 | Time=0.22 ms | Mem=435.13 MB | MaxMem=435.13 MB | GpuUtil=0% | Power=110.25/300.00W
[GPU 0] Task=copy_model           | Batch=2 UBatch=0 | Partition=0 Target=True | StartTime=1774244244.627067 | Time=1.21 ms | Mem=373.43 MB | MaxMem=436.48 MB | GpuUtil=0% | Power=110.27/300.00W
[GPU 0] Task=copy_model           | Batch=2 UBatch=0 | Partition=0 Target=False | StartTime=1774244244.630602 | Time=1.89 ms | Mem=373.43 MB | MaxMem=436.48 MB | GpuUtil=0% | Power=110.27/300.00W
[GPU 0] Task=compute_forward      | Batch=2 UBatch=0 | Partition=0 Target=True | StartTime=1774244244.630811 | Time=6.57 ms | Mem=373.63 MB | MaxMem=436.48 MB | GpuUtil=0% | Power=110.27/300.00W
[GPU 0] Task=compute_forward      | Batch=2 UBatch=0 | Partition=0 Target=False | StartTime=1774244244.644867 | Time=37.98 ms | Mem=446.99 MB | MaxMem=446.99 MB | GpuUtil=0% | Power=110.27/300.00W
[GPU 0] Task=copy_batch_out       | Batch=2 UBatch=0 | Partition=0 Target=True | StartTime=1774244244.689244 | Time=0.91 ms | Mem=446.99 MB | MaxMem=446.99 MB | GpuUtil=0% | Power=110.46/300.00W
