
====== Step 1 ======
[GPU 3] Task=copy_batch           | Batch=1 UBatch=0 | Partition=3 Target=True | StartTime=1774244240.326310 | Time=3150.56 ms | Mem=286.30 MB | MaxMem=286.30 MB | GpuUtil=0% | Power=118.40/300.00W
[GPU 3] Task=copy_batch           | Batch=1 UBatch=0 | Partition=3 Target=False | StartTime=1774244243.518291 | Time=0.06 ms | Mem=290.38 MB | MaxMem=290.38 MB | GpuUtil=0% | Power=118.31/300.00W
[GPU 3] Task=compute_forward      | Batch=1 UBatch=0 | Partition=3 Target=True | StartTime=1774244240.326079 | Time=3319.99 ms | Mem=293.65 MB | MaxMem=303.18 MB | GpuUtil=0% | Power=118.18/300.00W
[GPU 3] Task=compute_forward      | Batch=1 UBatch=0 | Partition=3 Target=False | StartTime=1774244243.678626 | Time=231.07 ms | Mem=316.62 MB | MaxMem=325.30 MB | GpuUtil=0% | Power=117.83/300.00W
[GPU 3] Task=compute_loss         | Batch=1 UBatch=0 | Partition=3 Target=False | StartTime=1774244243.926121 | Time=53.35 ms | Mem=316.62 MB | MaxMem=325.30 MB | GpuUtil=0% | Power=117.83/300.00W
[GPU 3] Task=compute_backward     | Batch=1 UBatch=0 | Partition=3 Target=False | StartTime=1774244243.986222 | Time=81.52 ms | Mem=396.31 MB | MaxMem=400.27 MB | GpuUtil=0% | Power=117.76/300.00W
[GPU 3] Task=copy_grad_out        | Batch=1 UBatch=0 | Partition=3 Target=False | StartTime=1774244240.326267 | Time=3743.00 ms | Mem=396.31 MB | MaxMem=400.27 MB | GpuUtil=0% | Power=117.76/300.00W
[GPU 3] Task=compute_optimize     | Batch=1 UBatch=0 | Partition=3 Target=False | StartTime=1774244244.075994 | Time=60.82 ms | Mem=491.78 MB | MaxMem=582.74 MB | GpuUtil=0% | Power=117.71/300.00W

====== Step 2 ======
[GPU 3] Task=copy_model           | Batch=2 UBatch=0 | Partition=3 Target=True | StartTime=1774244244.140727 | Time=0.88 ms | Mem=491.01 MB | MaxMem=582.74 MB | GpuUtil=0% | Power=117.71/300.00W
[GPU 3] Task=copy_model           | Batch=2 UBatch=0 | Partition=3 Target=False | StartTime=1774244244.146080 | Time=1.70 ms | Mem=491.01 MB | MaxMem=582.74 MB | GpuUtil=0% | Power=117.71/300.00W
[GPU 3] Task=copy_batch           | Batch=2 UBatch=0 | Partition=3 Target=True | StartTime=1774244243.522695 | Time=1240.66 ms | Mem=491.01 MB | MaxMem=582.74 MB | GpuUtil=0% | Power=117.48/300.00W
[GPU 3] Task=compute_forward      | Batch=2 UBatch=0 | Partition=3 Target=True | StartTime=1774244244.141962 | Time=624.94 ms | Mem=491.01 MB | MaxMem=582.74 MB | GpuUtil=0% | Power=117.48/300.00W
[GPU 3] Task=copy_batch           | Batch=2 UBatch=0 | Partition=3 Target=False | StartTime=1774244244.777925 | Time=2.54 ms | Mem=491.01 MB | MaxMem=582.74 MB | GpuUtil=0% | Power=117.48/300.00W
[GPU 3] Task=compute_forward      | Batch=2 UBatch=0 | Partition=3 Target=False | StartTime=1774244244.781011 | Time=7.46 ms | Mem=513.98 MB | MaxMem=582.74 MB | GpuUtil=0% | Power=117.45/300.00W
[GPU 3] Task=compute_loss         | Batch=2 UBatch=0 | Partition=3 Target=False | StartTime=1774244244.795527 | Time=1.72 ms | Mem=513.98 MB | MaxMem=582.74 MB | GpuUtil=0% | Power=117.45/300.00W
[GPU 3] Task=compute_backward     | Batch=2 UBatch=0 | Partition=3 Target=False | StartTime=1774244244.800025 | Time=5.89 ms | Mem=586.99 MB | MaxMem=590.95 MB | GpuUtil=0% | Power=117.45/300.00W
[GPU 3] Task=copy_grad_out        | Batch=2 UBatch=0 | Partition=3 Target=False | StartTime=1774244244.079915 | Time=728.71 ms | Mem=586.99 MB | MaxMem=590.95 MB | GpuUtil=0% | Power=117.45/300.00W
[GPU 3] Task=compute_optimize     | Batch=2 UBatch=0 | Partition=3 Target=False | StartTime=1774244244.809525 | Time=18.63 ms | Mem=491.01 MB | MaxMem=590.95 MB | GpuUtil=0% | Power=117.45/300.00W

====== Step 3 ======
[GPU 3] Task=copy_model           | Batch=3 UBatch=0 | Partition=3 Target=True | StartTime=1774244244.829510 | Time=0.97 ms | Mem=491.01 MB | MaxMem=590.95 MB | GpuUtil=0% | Power=117.45/300.00W
[GPU 3] Task=copy_model           | Batch=3 UBatch=0 | Partition=3 Target=False | StartTime=1774244244.833511 | Time=1.70 ms | Mem=491.01 MB | MaxMem=590.95 MB | GpuUtil=0% | Power=117.45/300.00W
[GPU 3] Task=copy_batch           | Batch=3 UBatch=0 | Partition=3 Target=True | StartTime=1774244244.787567 | Time=188.27 ms | Mem=491.01 MB | MaxMem=590.95 MB | GpuUtil=0% | Power=117.41/300.00W
[GPU 3] Task=compute_forward      | Batch=3 UBatch=0 | Partition=3 Target=True | StartTime=1774244244.835339 | Time=146.50 ms | Mem=491.78 MB | MaxMem=590.95 MB | GpuUtil=0% | Power=117.41/300.00W
[GPU 3] Task=copy_batch           | Batch=3 UBatch=0 | Partition=3 Target=False | StartTime=1774244244.983718 | Time=0.04 ms | Mem=491.01 MB | MaxMem=590.95 MB | GpuUtil=0% | Power=117.41/300.00W
[GPU 3] Task=compute_forward      | Batch=3 UBatch=0 | Partition=3 Target=False | StartTime=1774244244.985686 | Time=6.50 ms | Mem=513.98 MB | MaxMem=590.95 MB | GpuUtil=0% | Power=117.38/300.00W
[GPU 3] Task=compute_loss         | Batch=3 UBatch=0 | Partition=3 Target=False | StartTime=1774244244.999419 | Time=1.65 ms | Mem=513.98 MB | MaxMem=590.95 MB | GpuUtil=0% | Power=117.38/300.00W
[GPU 3] Task=compute_backward     | Batch=3 UBatch=0 | Partition=3 Target=False | StartTime=1774244245.007200 | Time=5.76 ms | Mem=586.99 MB | MaxMem=590.95 MB | GpuUtil=0% | Power=117.38/300.00W
[GPU 3] Task=copy_grad_out        | Batch=3 UBatch=0 | Partition=3 Target=False | StartTime=1774244244.820436 | Time=193.64 ms | Mem=586.99 MB | MaxMem=590.95 MB | GpuUtil=0% | Power=117.38/300.00W
[GPU 3] Task=compute_optimize     | Batch=3 UBatch=0 | Partition=3 Target=False | StartTime=1774244245.017222 | Time=6.92 ms | Mem=491.01 MB | MaxMem=590.95 MB | GpuUtil=0% | Power=117.38/300.00W

====== Step 4 ======
[GPU 3] Task=copy_model           | Batch=4 UBatch=0 | Partition=3 Target=True | StartTime=1774244245.023741 | Time=1.28 ms | Mem=491.01 MB | MaxMem=590.95 MB | GpuUtil=0% | Power=117.38/300.00W
[GPU 3] Task=copy_model           | Batch=4 UBatch=0 | Partition=3 Target=False | StartTime=1774244245.033799 | Time=1.64 ms | Mem=491.01 MB | MaxMem=590.95 MB | GpuUtil=0% | Power=117.38/300.00W
