
====== Step 1 ======
[GPU 1] Task=copy_batch           | Batch=1 UBatch=0 | Partition=1 Target=True | StartTime=1774364754.806551 | Time=891.94 ms | Mem=571.57 MB | MaxMem=571.57 MB | GpuUtil=9% | Power=163.61/300.00W
[GPU 1] Task=copy_batch           | Batch=1 UBatch=0 | Partition=1 Target=False | StartTime=1774364755.715341 | Time=14.36 ms | Mem=670.07 MB | MaxMem=670.27 MB | GpuUtil=9% | Power=163.61/300.00W
[GPU 1] Task=compute_forward      | Batch=1 UBatch=0 | Partition=1 Target=True | StartTime=1774364754.806306 | Time=1256.52 ms | Mem=579.70 MB | MaxMem=1680.70 MB | GpuUtil=0% | Power=164.09/300.00W
[GPU 1] Task=compute_forward      | Batch=1 UBatch=0 | Partition=1 Target=False | StartTime=1774364756.073522 | Time=216.84 ms | Mem=5920.82 MB | MaxMem=5920.82 MB | GpuUtil=0% | Power=126.04/300.00W
[GPU 1] Task=copy_batch_out       | Batch=1 UBatch=0 | Partition=1 Target=True | StartTime=1774364756.313604 | Time=1.41 ms | Mem=5920.82 MB | MaxMem=5920.82 MB | GpuUtil=0% | Power=126.04/300.00W
[GPU 1] Task=copy_batch_out       | Batch=1 UBatch=0 | Partition=1 Target=False | StartTime=1774364756.320929 | Time=0.89 ms | Mem=5920.82 MB | MaxMem=5920.82 MB | GpuUtil=0% | Power=126.04/300.00W
[GPU 1] Task=copy_grad            | Batch=1 UBatch=0 | Partition=1 Target=False | StartTime=1774364755.732622 | Time=3585.63 ms | Mem=5822.32 MB | MaxMem=5920.82 MB | GpuUtil=0% | Power=89.31/300.00W
[GPU 1] Task=compute_backward     | Batch=1 UBatch=0 | Partition=1 Target=False | StartTime=1774364756.314215 | Time=3126.70 ms | Mem=714.88 MB | MaxMem=6068.32 MB | GpuUtil=0% | Power=89.31/300.00W
[GPU 1] Task=copy_grad_out        | Batch=1 UBatch=0 | Partition=1 Target=False | StartTime=1774364754.806449 | Time=4636.40 ms | Mem=714.88 MB | MaxMem=6068.32 MB | GpuUtil=0% | Power=89.31/300.00W
[GPU 1] Task=compute_optimize     | Batch=1 UBatch=0 | Partition=1 Target=False | StartTime=1774364759.445766 | Time=27.05 ms | Mem=751.44 MB | MaxMem=6068.32 MB | GpuUtil=0% | Power=89.31/300.00W

====== Step 2 ======
[GPU 1] Task=copy_model           | Batch=2 UBatch=0 | Partition=1 Target=True | StartTime=1774364759.476378 | Time=1.13 ms | Mem=751.44 MB | MaxMem=6068.32 MB | GpuUtil=0% | Power=89.31/300.00W
[GPU 1] Task=copy_model           | Batch=2 UBatch=0 | Partition=1 Target=False | StartTime=1774364759.481621 | Time=1.85 ms | Mem=751.44 MB | MaxMem=6068.32 MB | GpuUtil=0% | Power=89.31/300.00W
[GPU 1] Task=copy_batch           | Batch=2 UBatch=0 | Partition=1 Target=True | StartTime=1774364759.344433 | Time=838.40 ms | Mem=457.94 MB | MaxMem=6068.32 MB | GpuUtil=81% | Power=168.55/300.00W
[GPU 1] Task=copy_batch           | Batch=2 UBatch=0 | Partition=1 Target=False | StartTime=1774364760.188151 | Time=34.64 ms | Mem=752.44 MB | MaxMem=6068.32 MB | GpuUtil=81% | Power=168.55/300.00W
[GPU 1] Task=compute_forward      | Batch=2 UBatch=0 | Partition=1 Target=True | StartTime=1774364759.483767 | Time=904.06 ms | Mem=653.94 MB | MaxMem=6068.32 MB | GpuUtil=81% | Power=176.99/300.00W
[GPU 1] Task=compute_forward      | Batch=2 UBatch=0 | Partition=1 Target=False | StartTime=1774364760.400803 | Time=46.60 ms | Mem=5995.06 MB | MaxMem=6068.32 MB | GpuUtil=81% | Power=178.33/300.00W
[GPU 1] Task=copy_batch_out       | Batch=2 UBatch=0 | Partition=1 Target=True | StartTime=1774364760.457077 | Time=0.90 ms | Mem=5995.06 MB | MaxMem=6068.32 MB | GpuUtil=41% | Power=178.33/300.00W
