
====== Step 1 ======
[GPU 3] Task=copy_batch           | Batch=1 UBatch=0 | Partition=3 Target=True | StartTime=1774436700.570190 | Time=4484.13 ms | Mem=701.52 MB | MaxMem=701.52 MB | GpuUtil=100% | Power=209.64/300.00W
[GPU 3] Task=copy_batch           | Batch=1 UBatch=0 | Partition=3 Target=False | StartTime=1774436705.099066 | Time=0.00 ms | Mem=998.52 MB | MaxMem=998.52 MB | GpuUtil=100% | Power=209.64/300.00W
[GPU 3] Task=compute_forward      | Batch=1 UBatch=0 | Partition=3 Target=True | StartTime=1774436700.570346 | Time=5080.59 ms | Mem=512.69 MB | MaxMem=1712.14 MB | GpuUtil=100% | Power=157.21/300.00W
[GPU 3] Task=compute_forward      | Batch=1 UBatch=0 | Partition=3 Target=False | StartTime=1774436705.664976 | Time=256.75 ms | Mem=5196.54 MB | MaxMem=5245.44 MB | GpuUtil=100% | Power=184.93/300.00W
[GPU 3] Task=compute_loss         | Batch=1 UBatch=0 | Partition=3 Target=False | StartTime=1774436705.953785 | Time=53.15 ms | Mem=5196.49 MB | MaxMem=5245.44 MB | GpuUtil=100% | Power=197.56/300.00W
[GPU 3] Task=compute_backward     | Batch=1 UBatch=0 | Partition=3 Target=False | StartTime=1774436706.019710 | Time=197.49 ms | Mem=738.17 MB | MaxMem=5304.40 MB | GpuUtil=100% | Power=221.87/300.00W
[GPU 3] Task=copy_grad_out        | Batch=1 UBatch=0 | Partition=3 Target=False | StartTime=1774436700.570385 | Time=5648.14 ms | Mem=738.17 MB | MaxMem=5304.40 MB | GpuUtil=100% | Power=221.87/300.00W
[GPU 3] Task=compute_optimize     | Batch=1 UBatch=0 | Partition=3 Target=False | StartTime=1774436706.246624 | Time=86.62 ms | Mem=757.46 MB | MaxMem=5304.40 MB | GpuUtil=100% | Power=232.34/300.00W

====== Step 2 ======
[GPU 3] Task=copy_model           | Batch=2 UBatch=0 | Partition=3 Target=True | StartTime=1774436706.338838 | Time=0.00 ms | Mem=757.46 MB | MaxMem=5304.40 MB | GpuUtil=100% | Power=232.34/300.00W
[GPU 3] Task=copy_model           | Batch=2 UBatch=0 | Partition=3 Target=False | StartTime=1774436706.342971 | Time=3.11 ms | Mem=757.46 MB | MaxMem=5304.40 MB | GpuUtil=100% | Power=232.34/300.00W
[GPU 3] Task=copy_batch           | Batch=2 UBatch=0 | Partition=3 Target=True | StartTime=1774436705.106531 | Time=3710.07 ms | Mem=757.96 MB | MaxMem=5304.40 MB | GpuUtil=100% | Power=150.20/300.00W
[GPU 3] Task=copy_batch           | Batch=2 UBatch=0 | Partition=3 Target=False | StartTime=1774436708.821560 | Time=37.89 ms | Mem=856.00 MB | MaxMem=5304.40 MB | GpuUtil=100% | Power=150.54/300.00W
[GPU 3] Task=compute_forward      | Batch=2 UBatch=0 | Partition=3 Target=True | StartTime=1774436706.346664 | Time=2822.66 ms | Mem=757.50 MB | MaxMem=5304.40 MB | GpuUtil=100% | Power=161.90/300.00W
[GPU 3] Task=compute_forward      | Batch=2 UBatch=0 | Partition=3 Target=False | StartTime=1774436709.206510 | Time=90.28 ms | Mem=5441.35 MB | MaxMem=5489.25 MB | GpuUtil=100% | Power=175.31/300.00W
[GPU 3] Task=compute_loss         | Batch=2 UBatch=0 | Partition=3 Target=False | StartTime=1774436709.301942 | Time=3.12 ms | Mem=5441.30 MB | MaxMem=5489.25 MB | GpuUtil=100% | Power=175.31/300.00W
[GPU 3] Task=copy_grad_out        | Batch=2 UBatch=0 | Partition=3 Target=False | StartTime=1774436706.248485 | Time=3191.49 ms | Mem=977.74 MB | MaxMem=5539.08 MB | GpuUtil=100% | Power=188.31/300.00W
[GPU 3] Task=compute_backward     | Batch=2 UBatch=0 | Partition=3 Target=False | StartTime=1774436709.309577 | Time=128.90 ms | Mem=977.74 MB | MaxMem=5539.08 MB | GpuUtil=100% | Power=188.31/300.00W
[GPU 3] Task=compute_optimize     | Batch=2 UBatch=0 | Partition=3 Target=False | StartTime=1774436709.474540 | Time=15.05 ms | Mem=757.46 MB | MaxMem=5539.08 MB | GpuUtil=100% | Power=198.61/300.00W

====== Step 3 ======
[GPU 3] Task=copy_model           | Batch=3 UBatch=0 | Partition=3 Target=True | StartTime=1774436709.495445 | Time=1.64 ms | Mem=757.46 MB | MaxMem=5539.08 MB | GpuUtil=100% | Power=198.61/300.00W
[GPU 3] Task=copy_model           | Batch=3 UBatch=0 | Partition=3 Target=False | StartTime=1774436709.500146 | Time=4.59 ms | Mem=757.46 MB | MaxMem=5539.08 MB | GpuUtil=100% | Power=198.61/300.00W
[GPU 3] Task=copy_batch           | Batch=3 UBatch=0 | Partition=3 Target=True | StartTime=1774436708.861849 | Time=2884.12 ms | Mem=757.96 MB | MaxMem=5539.08 MB | GpuUtil=100% | Power=209.25/300.00W
[GPU 3] Task=copy_batch           | Batch=3 UBatch=0 | Partition=3 Target=False | StartTime=1774436711.756979 | Time=26.03 ms | Mem=856.00 MB | MaxMem=5539.08 MB | GpuUtil=100% | Power=196.78/300.00W
[GPU 3] Task=compute_forward      | Batch=3 UBatch=0 | Partition=3 Target=True | StartTime=1774436709.509539 | Time=2612.70 ms | Mem=757.50 MB | MaxMem=5539.08 MB | GpuUtil=100% | Power=163.46/300.00W
[GPU 3] Task=compute_forward      | Batch=3 UBatch=0 | Partition=3 Target=False | StartTime=1774436712.137628 | Time=64.52 ms | Mem=5441.35 MB | MaxMem=5539.08 MB | GpuUtil=97% | Power=154.53/300.00W
[GPU 3] Task=compute_loss         | Batch=3 UBatch=0 | Partition=3 Target=False | StartTime=1774436712.205288 | Time=3.26 ms | Mem=5441.30 MB | MaxMem=5539.08 MB | GpuUtil=97% | Power=154.53/300.00W
[GPU 3] Task=compute_backward     | Batch=3 UBatch=0 | Partition=3 Target=False | StartTime=1774436712.213432 | Time=155.51 ms | Mem=977.74 MB | MaxMem=5539.08 MB | GpuUtil=97% | Power=153.65/300.00W
[GPU 3] Task=copy_grad_out        | Batch=3 UBatch=0 | Partition=3 Target=False | StartTime=1774436709.473469 | Time=2897.52 ms | Mem=977.74 MB | MaxMem=5539.08 MB | GpuUtil=97% | Power=154.54/300.00W
[GPU 3] Task=compute_optimize     | Batch=3 UBatch=0 | Partition=3 Target=False | StartTime=1774436712.391868 | Time=6.89 ms | Mem=757.46 MB | MaxMem=5539.08 MB | GpuUtil=100% | Power=154.54/300.00W

====== Step 4 ======
[GPU 3] Task=copy_model           | Batch=4 UBatch=0 | Partition=3 Target=True | StartTime=1774436712.402189 | Time=1.11 ms | Mem=757.46 MB | MaxMem=5539.08 MB | GpuUtil=100% | Power=154.54/300.00W
[GPU 3] Task=copy_model           | Batch=4 UBatch=0 | Partition=3 Target=False | StartTime=1774436712.409418 | Time=2.43 ms | Mem=757.46 MB | MaxMem=5539.08 MB | GpuUtil=100% | Power=154.54/300.00W
[GPU 3] Task=copy_batch           | Batch=4 UBatch=0 | Partition=3 Target=True | StartTime=1774436711.791522 | Time=2567.82 ms | Mem=757.96 MB | MaxMem=5539.08 MB | GpuUtil=100% | Power=256.06/300.00W
[GPU 3] Task=copy_batch           | Batch=4 UBatch=0 | Partition=3 Target=False | StartTime=1774436714.369753 | Time=11.98 ms | Mem=856.00 MB | MaxMem=5539.08 MB | GpuUtil=100% | Power=256.06/300.00W
[GPU 3] Task=compute_forward      | Batch=4 UBatch=0 | Partition=3 Target=True | StartTime=1774436712.407543 | Time=2312.26 ms | Mem=757.50 MB | MaxMem=5539.08 MB | GpuUtil=99% | Power=255.20/300.00W
[GPU 3] Task=compute_forward      | Batch=4 UBatch=0 | Partition=3 Target=False | StartTime=1774436714.742746 | Time=55.04 ms | Mem=5441.35 MB | MaxMem=5539.08 MB | GpuUtil=99% | Power=244.19/300.00W
[GPU 3] Task=compute_loss         | Batch=4 UBatch=0 | Partition=3 Target=False | StartTime=1774436714.805002 | Time=4.02 ms | Mem=5441.30 MB | MaxMem=5539.08 MB | GpuUtil=100% | Power=244.19/300.00W
[GPU 3] Task=compute_backward     | Batch=4 UBatch=0 | Partition=3 Target=False | StartTime=1774436714.812347 | Time=160.79 ms | Mem=977.74 MB | MaxMem=5539.08 MB | GpuUtil=100% | Power=231.41/300.00W
[GPU 3] Task=copy_grad_out        | Batch=4 UBatch=0 | Partition=3 Target=False | StartTime=1774436712.402161 | Time=2574.06 ms | Mem=977.74 MB | MaxMem=5539.08 MB | GpuUtil=100% | Power=231.41/300.00W
[GPU 3] Task=compute_optimize     | Batch=4 UBatch=0 | Partition=3 Target=False | StartTime=1774436714.987725 | Time=9.08 ms | Mem=757.46 MB | MaxMem=5539.08 MB | GpuUtil=100% | Power=221.31/300.00W

====== Step 5 ======
[GPU 3] Task=copy_model           | Batch=5 UBatch=0 | Partition=3 Target=True | StartTime=1774436714.997607 | Time=0.95 ms | Mem=757.46 MB | MaxMem=5539.08 MB | GpuUtil=100% | Power=221.31/300.00W
[GPU 3] Task=copy_model           | Batch=5 UBatch=0 | Partition=3 Target=False | StartTime=1774436715.002672 | Time=2.21 ms | Mem=757.46 MB | MaxMem=5539.08 MB | GpuUtil=100% | Power=221.31/300.00W
[GPU 3] Task=copy_batch           | Batch=5 UBatch=0 | Partition=3 Target=True | StartTime=1774436714.387720 | Time=2660.25 ms | Mem=757.96 MB | MaxMem=5539.08 MB | GpuUtil=100% | Power=235.93/300.00W
[GPU 3] Task=copy_batch           | Batch=5 UBatch=0 | Partition=3 Target=False | StartTime=1774436717.056520 | Time=24.99 ms | Mem=856.00 MB | MaxMem=5539.08 MB | GpuUtil=100% | Power=235.93/300.00W
[GPU 3] Task=compute_forward      | Batch=5 UBatch=0 | Partition=3 Target=True | StartTime=1774436715.000665 | Time=2408.51 ms | Mem=757.50 MB | MaxMem=5539.08 MB | GpuUtil=100% | Power=249.77/300.00W
[GPU 3] Task=compute_forward      | Batch=5 UBatch=0 | Partition=3 Target=False | StartTime=1774436717.436785 | Time=82.48 ms | Mem=5441.35 MB | MaxMem=5539.08 MB | GpuUtil=100% | Power=252.56/300.00W
[GPU 3] Task=compute_loss         | Batch=5 UBatch=0 | Partition=3 Target=False | StartTime=1774436717.528835 | Time=3.15 ms | Mem=5441.30 MB | MaxMem=5539.08 MB | GpuUtil=100% | Power=252.56/300.00W
[GPU 3] Task=compute_backward     | Batch=5 UBatch=0 | Partition=3 Target=False | StartTime=1774436717.539057 | Time=124.29 ms | Mem=977.74 MB | MaxMem=5539.08 MB | GpuUtil=100% | Power=251.03/300.00W
[GPU 3] Task=copy_grad_out        | Batch=5 UBatch=0 | Partition=3 Target=False | StartTime=1774436714.996472 | Time=2675.88 ms | Mem=977.74 MB | MaxMem=5539.08 MB | GpuUtil=100% | Power=251.03/300.00W
[GPU 3] Task=compute_optimize     | Batch=5 UBatch=0 | Partition=3 Target=False | StartTime=1774436717.689467 | Time=11.73 ms | Mem=757.46 MB | MaxMem=5539.08 MB | GpuUtil=100% | Power=251.03/300.00W

====== Step 6 ======
[GPU 3] Task=copy_model           | Batch=6 UBatch=0 | Partition=3 Target=True | StartTime=1774436717.703887 | Time=1.58 ms | Mem=757.46 MB | MaxMem=5539.08 MB | GpuUtil=100% | Power=251.03/300.00W
[GPU 3] Task=copy_model           | Batch=6 UBatch=0 | Partition=3 Target=False | StartTime=1774436717.711241 | Time=3.11 ms | Mem=757.46 MB | MaxMem=5539.08 MB | GpuUtil=100% | Power=251.03/300.00W
[GPU 3] Task=copy_batch           | Batch=6 UBatch=0 | Partition=3 Target=True | StartTime=1774436717.085894 | Time=3139.03 ms | Mem=757.96 MB | MaxMem=5539.08 MB | GpuUtil=100% | Power=149.86/300.00W
[GPU 3] Task=copy_batch           | Batch=6 UBatch=0 | Partition=3 Target=False | StartTime=1774436720.235164 | Time=8.88 ms | Mem=856.00 MB | MaxMem=5539.08 MB | GpuUtil=100% | Power=162.86/300.00W
[GPU 3] Task=compute_forward      | Batch=6 UBatch=0 | Partition=3 Target=True | StartTime=1774436717.711198 | Time=2880.59 ms | Mem=757.50 MB | MaxMem=5539.08 MB | GpuUtil=100% | Power=201.01/300.00W
[GPU 3] Task=compute_forward      | Batch=6 UBatch=0 | Partition=3 Target=False | StartTime=1774436720.617461 | Time=53.91 ms | Mem=5441.35 MB | MaxMem=5539.08 MB | GpuUtil=100% | Power=212.35/300.00W
[GPU 3] Task=compute_loss         | Batch=6 UBatch=0 | Partition=3 Target=False | StartTime=1774436720.682919 | Time=5.37 ms | Mem=5441.30 MB | MaxMem=5539.08 MB | GpuUtil=100% | Power=212.35/300.00W
[GPU 3] Task=copy_grad_out        | Batch=6 UBatch=0 | Partition=3 Target=False | StartTime=1774436717.696250 | Time=3177.17 ms | Mem=977.74 MB | MaxMem=5539.08 MB | GpuUtil=100% | Power=237.47/300.00W
[GPU 3] Task=compute_backward     | Batch=6 UBatch=0 | Partition=3 Target=False | StartTime=1774436720.691978 | Time=179.77 ms | Mem=977.74 MB | MaxMem=5539.08 MB | GpuUtil=100% | Power=237.47/300.00W
