
====== Step 1 ======
[GPU 0] Task=copy_batch           | Batch=1 UBatch=0 | Partition=0 Target=True | StartTime=1774436699.517646 | Time=84.37 ms | Mem=517.63 MB | MaxMem=517.63 MB | GpuUtil=42% | Power=209.23/300.00W
[GPU 0] Task=copy_batch           | Batch=1 UBatch=0 | Partition=0 Target=False | StartTime=1774436699.678210 | Time=23.33 ms | Mem=591.63 MB | MaxMem=591.63 MB | GpuUtil=42% | Power=208.25/300.00W
[GPU 0] Task=compute_forward      | Batch=1 UBatch=0 | Partition=0 Target=True | StartTime=1774436699.517153 | Time=1621.67 ms | Mem=526.25 MB | MaxMem=1602.75 MB | GpuUtil=100% | Power=237.40/300.00W
[GPU 0] Task=compute_forward      | Batch=1 UBatch=0 | Partition=0 Target=False | StartTime=1774436701.155132 | Time=141.12 ms | Mem=7974.29 MB | MaxMem=7974.29 MB | GpuUtil=89% | Power=242.69/300.00W
[GPU 0] Task=copy_batch_out       | Batch=1 UBatch=0 | Partition=0 Target=True | StartTime=1774436701.312918 | Time=0.01 ms | Mem=7974.29 MB | MaxMem=7974.29 MB | GpuUtil=89% | Power=242.69/300.00W
[GPU 0] Task=copy_batch_out       | Batch=1 UBatch=0 | Partition=0 Target=False | StartTime=1774436701.319066 | Time=774.43 ms | Mem=7875.79 MB | MaxMem=7974.29 MB | GpuUtil=46% | Power=236.44/300.00W
[GPU 0] Task=copy_grad            | Batch=1 UBatch=0 | Partition=0 Target=False | StartTime=1774436699.708611 | Time=7142.10 ms | Mem=7875.79 MB | MaxMem=7974.29 MB | GpuUtil=47% | Power=211.12/300.00W
[GPU 0] Task=compute_backward     | Batch=1 UBatch=0 | Partition=0 Target=False | StartTime=1774436701.312956 | Time=5790.28 ms | Mem=506.20 MB | MaxMem=8415.79 MB | GpuUtil=71% | Power=220.54/300.00W
[GPU 0] Task=compute_optimize     | Batch=1 UBatch=0 | Partition=0 Target=False | StartTime=1774436707.135957 | Time=42.93 ms | Mem=510.65 MB | MaxMem=8415.79 MB | GpuUtil=71% | Power=222.08/300.00W

====== Step 2 ======
[GPU 0] Task=copy_batch           | Batch=2 UBatch=0 | Partition=0 Target=True | StartTime=1774436706.866626 | Time=10.63 ms | Mem=8341.79 MB | MaxMem=8341.79 MB | GpuUtil=46% | Power=209.20/300.00W
[GPU 0] Task=copy_batch           | Batch=2 UBatch=0 | Partition=0 Target=False | StartTime=1774436706.899520 | Time=14.04 ms | Mem=8268.79 MB | MaxMem=8415.79 MB | GpuUtil=46% | Power=209.20/300.00W
[GPU 0] Task=copy_model           | Batch=2 UBatch=0 | Partition=0 Target=True | StartTime=1774436707.184738 | Time=1.69 ms | Mem=510.65 MB | MaxMem=8415.79 MB | GpuUtil=71% | Power=222.08/300.00W
[GPU 0] Task=copy_model           | Batch=2 UBatch=0 | Partition=0 Target=False | StartTime=1774436707.492305 | Time=9.93 ms | Mem=609.15 MB | MaxMem=8415.79 MB | GpuUtil=95% | Power=252.89/300.00W
[GPU 0] Task=compute_forward      | Batch=2 UBatch=0 | Partition=0 Target=True | StartTime=1774436707.187057 | Time=419.83 ms | Mem=535.15 MB | MaxMem=8415.79 MB | GpuUtil=95% | Power=252.89/300.00W
[GPU 0] Task=compute_forward      | Batch=2 UBatch=0 | Partition=0 Target=False | StartTime=1774436707.618644 | Time=57.73 ms | Mem=7983.18 MB | MaxMem=8415.79 MB | GpuUtil=100% | Power=257.77/300.00W
[GPU 0] Task=copy_batch_out       | Batch=2 UBatch=0 | Partition=0 Target=True | StartTime=1774436707.683278 | Time=1.66 ms | Mem=7983.18 MB | MaxMem=8415.79 MB | GpuUtil=100% | Power=257.77/300.00W
[GPU 0] Task=copy_batch_out       | Batch=2 UBatch=0 | Partition=0 Target=False | StartTime=1774436707.726599 | Time=1.62 ms | Mem=7884.68 MB | MaxMem=8415.79 MB | GpuUtil=100% | Power=257.77/300.00W
[GPU 0] Task=copy_grad            | Batch=2 UBatch=0 | Partition=0 Target=False | StartTime=1774436706.918402 | Time=2885.53 ms | Mem=7884.68 MB | MaxMem=8415.79 MB | GpuUtil=46% | Power=209.42/300.00W
[GPU 0] Task=compute_backward     | Batch=2 UBatch=0 | Partition=0 Target=False | StartTime=1774436707.683310 | Time=2265.11 ms | Mem=441.09 MB | MaxMem=8415.79 MB | GpuUtil=53% | Power=211.32/300.00W
[GPU 0] Task=compute_optimize     | Batch=2 UBatch=0 | Partition=0 Target=False | StartTime=1774436709.960649 | Time=15.11 ms | Mem=510.65 MB | MaxMem=8415.79 MB | GpuUtil=53% | Power=219.53/300.00W

====== Step 3 ======
[GPU 0] Task=copy_batch           | Batch=3 UBatch=0 | Partition=0 Target=True | StartTime=1774436709.850520 | Time=12.13 ms | Mem=1054.09 MB | MaxMem=8415.79 MB | GpuUtil=53% | Power=211.32/300.00W
[GPU 0] Task=copy_batch           | Batch=3 UBatch=0 | Partition=0 Target=False | StartTime=1774436709.971170 | Time=11.25 ms | Mem=510.65 MB | MaxMem=8415.79 MB | GpuUtil=53% | Power=219.53/300.00W
[GPU 0] Task=copy_model           | Batch=3 UBatch=0 | Partition=0 Target=True | StartTime=1774436709.983984 | Time=1.24 ms | Mem=510.65 MB | MaxMem=8415.79 MB | GpuUtil=53% | Power=219.53/300.00W
[GPU 0] Task=copy_model           | Batch=3 UBatch=0 | Partition=0 Target=False | StartTime=1774436710.179986 | Time=12.63 ms | Mem=609.15 MB | MaxMem=8415.79 MB | GpuUtil=83% | Power=247.13/300.00W
[GPU 0] Task=compute_forward      | Batch=3 UBatch=0 | Partition=0 Target=True | StartTime=1774436709.987251 | Time=426.60 ms | Mem=535.15 MB | MaxMem=8415.79 MB | GpuUtil=83% | Power=247.13/300.00W
[GPU 0] Task=compute_forward      | Batch=3 UBatch=0 | Partition=0 Target=False | StartTime=1774436710.433781 | Time=66.03 ms | Mem=7983.18 MB | MaxMem=8415.79 MB | GpuUtil=100% | Power=250.13/300.00W
[GPU 0] Task=copy_batch_out       | Batch=3 UBatch=0 | Partition=0 Target=True | StartTime=1774436710.505577 | Time=1.65 ms | Mem=7983.18 MB | MaxMem=8415.79 MB | GpuUtil=100% | Power=250.13/300.00W
[GPU 0] Task=copy_batch_out       | Batch=3 UBatch=0 | Partition=0 Target=False | StartTime=1774436710.548289 | Time=3.19 ms | Mem=7884.68 MB | MaxMem=8415.79 MB | GpuUtil=100% | Power=250.13/300.00W
[GPU 0] Task=copy_grad            | Batch=3 UBatch=0 | Partition=0 Target=False | StartTime=1774436709.987683 | Time=2872.42 ms | Mem=7689.74 MB | MaxMem=8415.79 MB | GpuUtil=46% | Power=210.34/300.00W
[GPU 0] Task=compute_backward     | Batch=3 UBatch=0 | Partition=0 Target=False | StartTime=1774436710.505605 | Time=2481.58 ms | Mem=441.09 MB | MaxMem=8415.79 MB | GpuUtil=46% | Power=216.59/300.00W
